9
8
['BQ', 'BL', 'S', 'BH', 'A', 'BC', 'BS', 'P']
['BX', 'L', 'X', 'BD', 'Y', 'G', 'Q', 'U']
['BQ', 'BE', 'BB', 'G', 'T', 'BA', 'U', 'BO']
['BL', 'BB', 'BH', 'Z', 'BP', 'D', 'E', 'BI']
['BT', 'BV', 'BL', 'I', 'S', 'Q', 'BP', 'P']
['BF', 'BT', 'BB', 'BM', 'V', 'W', 'M', 'BK']
['H', 'O', 'S', 'BW', 'D', 'BK', 'B', 'BO']
['BX', 'BQ', 'I', 'BU', 'Y', 'N', 'C', 'J']
['BL', 'O', 'BA', 'BH', 'N', 'BP', 'BC', 'P']
['BR', 'BD', 'BF', 'F', 'BJ', 'M', 'BA', 'BI']
['BX', 'L', 'X', 'O', 'BM', 'BE', 'BH', 'U']
['BQ', 'BE', 'BB', 'A', 'T', 'BA', 'E', 'BO']
['BX', 'H', 'BM', 'R', 'J', 'BS', 'E', 'U']
['BX', 'BT', 'BV', 'R', 'W', 'Q', 'P', 'B']
['BX', 'BG', 'BD', 'V', 'G', 'J', 'BS', 'K']
['BN', 'O', 'BW', 'R', 'M', 'D', 'BK', 'BO']
['P', 'BQ', 'S', 'BU', 'V', 'C', 'J', 'K']
['BL', 'BM', 'BU', 'BH', 'N', 'G', 'BC', 'BA']
['BR', 'BD', 'BF', 'F', 'S', 'O', 'BJ', 'BI']
['BX', 'L', 'I', 'BM', 'Y', 'M', 'D', 'U']
['BQ', 'BD', 'BE', 'BB', 'G', 'A', 'T', 'BA']
['H', 'BG', 'BR', 'BT', 'F', 'BU', 'G', 'E']
['BT', 'BJ', 'N', 'R', 'Q', 'BP', 'BS', 'P']
['BX', 'X', 'BQ', 'BU', 'V', 'G', 'W', 'B']
['BN', 'BF', 'BA', 'BH', 'BW', 'D', 'BK', 'B']
['H', 'BQ', 'O', 'I', 'BB', 'C', 'J', 'K']
['BL', 'BH', 'Z', 'N', 'G', 'A', 'BP', 'BS']
['BR', 'BD', 'BF', 'F', 'S', 'C', 'M', 'BI']
['BX', 'L', 'X', 'BV', 'Y', 'W', 'E', 'U']
['BQ', 'BE', 'BB', 'BJ', 'G', 'T', 'BA', 'BO']
['BX', 'H', 'P', 'BD', 'O', 'G', 'BW', 'E']
['BR', 'BQ', 'BV', 'R', 'Q', 'BP', 'BK', 'P']
['BG', 'BT', 'F', 'BB', 'A', 'W', 'BS', 'P']
['BN', 'F', 'BB', 'BJ', 'BW', 'D', 'BK', 'B']
['BN', 'P', 'BU', 'Z', 'N', 'C', 'J', 'K']
['BL', 'BF', 'BM', 'BH', 'N', 'G', 'BS', 'BA']
