30
39
['27', '4']
['274', '107', '104']
['274', '109', '112']
['274', '121', '119']
['274', '132', '131']
['274', '140', '142']
['274', '149', '151']
['274', '160', '155']
['274', '167', '169']
['274', '176', '174']
['274', '182', '186']
['274', '194', '196']
['274', '200', '205']
['274', '215', '209']
['274', '224', '219']
['274', '229', '228']
['274', '235', '239']
['274', '246', '251']
['274', '256', '258']
['274', '265', '268']
['275', '4']
['275', '15', '16']
['275', '25', '26']
['275', '33', '30']
['275', '41', '39']
['275', '49', '48']
['275', '57', '55']
['275', '66', '70']
['275', '76', '75']
['275', '82', '88']
['275', '97', '98']
['275', '100', '102']
['275', '115', '113']
['275', '119', '121']
['275', '131', '127']
['275', '136', '140']
['275', '149', '147']
['275', '156', '154']
['275', '165', '168']
['275', '176', '175']
['275', '186', '185']
['275', '195', '192']
['275', '206', '202']
['275', '211', '208']
['275', '224', '221']
['275', '227', '232']
['275', '239', '236']
['275', '248', '247']
['275', '255', '253']
['275', '265', '262']
['276', '3']
['276', '16', '14']
['276', '22', '21']
['276', '28', '35']
['276', '41', '43']
['276', '48', '51']
['276', '58', '57']
['276', '65', '67']
['276', '80', '78']
['276', '83', '85']
['276', '92', '93']
['276', '106', '105']
['276', '109', '115']
['276', '121', '118']
['276', '127', '132']
['276', '138', '137']
['276', '146', '151']
['276', '155', '160']
['276', '168', '166']
['276', '179', '173']
['276', '188', '186']
['276', '190', '191']
['276', '206', '201']
['276', '210', '209']
['276', '224', '219']
['276', '233', '226']
['276', '238', '237']
['276', '250', '245']
['276', '259', '253']
['276', '265', '263']
['277', '1']
['277', '12', '10']
['277', '21', '22']
['277', '29', '32']
['277', '38', '41']
['277', '48', '46']
['277', '58', '59']
['277', '71', '70']
['277', '79', '76']
['277', '85', '87']
['277', '93', '92']
['277', '105', '101']
['277', '114', '115']
['277', '121', '123']
['277', '130', '129']
['277', '139', '136']
['277', '152', '146']
['277', '156', '154']
['277', '169', '168']
['277', '178', '177']
['277', '185', '187']
['277', '194', '192']
['277', '203', '202']
['277', '208', '214']
['277', '221', '223']
['277', '232', '230']
['277', '240', '238']
['277', '244', '248']
['277', '254', '258']
['277', '268', '264']
['278', '2']
['278', '11', '14']
['278', '26', '23']
['278', '29', '31']
['278', '41', '44']
['278', '51', '48']
['278', '62', '57']
['278', '71', '66']
['278', '75', '76']
['278', '86', '82']
['278', '97', '92']
['278', '103', '102']
['278', '116', '109']
['278', '124', '120']
['278', '127', '128']
['278', '143', '140']
['278', '150', '151']
['278', '154', '161']
['278', '163', '167']
['278', '176', '179']
['278', '188', '186']
['278', '196', '191']
['278', '201', '206']
['278', '213', '215']
['278', '223', '222']
['278', '230', '231']
['278', '239', '242']
['278', '250', '247']
['278', '259', '258']
['278', '267', '269']
['279', '2']
['279', '11', '10']
['279', '21', '19']
['279', '30', '33']
['279', '44', '43']
['279', '46', '49']
['279', '59', '57']
['279', '68', '65']
['279', '76', '80']
['279', '87', '84']
['279', '97', '91']
['279', '105', '103']
['279', '109', '115']
['279', '124', '120']
['279', '132', '127']
['279', '143', '137']
['279', '150', '152']
['279', '157', '161']
['279', '167', '164']
['279', '174', '173']
['279', '187', '183']
['279', '190', '194']
['279', '204', '202']
['279', '212', '213']
['279', '218', '219']
['279', '227', '231']
['279', '240', '237']
['279', '250', '251']
['279', '259', '255']
['279', '267', '265']
['280', '6']
['280', '10', '12']
['280', '19', '23']
['280', '28', '29']
['280', '37', '42']
['280', '46', '49']
['280', '59', '56']
['280', '67', '71']
['280', '77', '73']
['280', '83', '87']
['280', '92', '97']
['280', '107', '100']
['280', '116', '110']
['280', '124', '123']
['280', '128', '134']
['280', '139', '143']
['280', '148', '152']
['280', '155', '158']
['280', '164', '167']
['280', '174', '173']
['280', '181', '187']
['280', '190', '196']
['280', '202', '200']
['280', '208', '213']
['280', '220', '218']
['280', '227', '232']
['280', '235', '239']
['280', '245', '249']
['280', '253', '255']
['280', '263', '265']
['281', '3']
['281', '12', '14']
['281', '20', '23']
['281', '33', '32']
['281', '39', '41']
['281', '46', '50']
['281', '60', '56']
['281', '69', '67']
['281', '75', '78']
['281', '86', '85']
['281', '91', '95']
['281', '102', '107']
['281', '109', '116']
['281', '120', '121']
['281', '127', '129']
['281', '138', '141']
['281', '145', '146']
['281', '155', '154']
['281', '170', '166']
['281', '177', '179']
['281', '185', '182']
['281', '196', '197']
['281', '202', '204']
['281', '213', '208']
['281', '222', '219']
['281', '230', '228']
['281', '239', '240']
['281', '249', '247']
['281', '256', '259']
['281', '264', '262']
['282', '6']
['282', '14', '12']
['282', '20', '21']
['282', '30', '31']
['282', '40', '37']
['282', '53', '50']
['282', '55', '59']
['282', '66', '65']
['282', '73', '75']
['282', '82', '85']
['282', '97', '92']
['282', '105', '101']
['282', '111', '113']
['282', '124', '120']
['282', '128', '130']
['282', '140', '143']
['282', '151', '146']
['282', '155', '156']
['282', '168', '163']
['282', '173', '172']
['282', '184', '182']
['282', '196', '190']
['282', '201', '199']
['282', '213', '215']
['282', '217', '220']
['282', '230', '228']
['282', '236', '239']
['282', '246', '247']
['282', '255', '253']
['282', '263', '266']
['283', '3']
['283', '12', '14']
['283', '23', '19']
['283', '32', '33']
['283', '43', '42']
['283', '51', '46']
['283', '58', '59']
['283', '65', '70']
['283', '80', '77']
['283', '89', '87']
['283', '92', '95']
['283', '101', '105']
['283', '116', '112']
['283', '124', '119']
['283', '127', '128']
['283', '143', '137']
['283', '147', '148']
['283', '155', '154']
['283', '165', '168']
['283', '177', '179']
['283', '188', '182']
['283', '196', '192']
['283', '205', '206']
['283', '211', '215']
['283', '221', '218']
['283', '232', '228']
['283', '238', '240']
['283', '245', '248']
['283', '258', '255']
['283', '266', '267']
['284', '5']
['284', '11', '15']
['284', '20', '22']
['284', '35', '28']
['284', '42', '40']
['284', '53', '47']
['284', '62', '55']
['284', '68', '67']
['284', '73', '80']
['284', '83', '82']
['284', '91', '95']
['284', '107', '104']
['284', '111', '110']
['284', '124', '119']
['284', '131', '130']
['284', '137', '142']
['284', '147', '149']
['284', '161', '160']
['284', '165', '170']
['284', '173', '179']
['284', '183', '185']
['284', '193', '194']
['284', '204', '202']
['284', '209', '212']
['284', '220', '222']
['284', '233', '230']
['284', '239', '240']
['284', '244', '251']
['284', '260', '256']
['284', '267', '263']
['285', '5']
['285', '17', '16']
['285', '20', '23']
['285', '33', '28']
['285', '42', '41']
['285', '50', '51']
['285', '62', '61']
['285', '69', '67']
['285', '75', '74']
['285', '89', '85']
['285', '92', '97']
['285', '105', '104']
['285', '113', '109']
['285', '120', '125']
['285', '133', '129']
['285', '143', '140']
['285', '148', '152']
['285', '161', '158']
['285', '163', '166']
['285', '172', '174']
['285', '182', '187']
['285', '193', '195']
['285', '200', '203']
['285', '210', '214']
['285', '221', '217']
['285', '229', '226']
['285', '235', '236']
['285', '244', '248']
['285', '258', '256']
['285', '266', '268']
['286', '5']
['286', '16', '14']
['286', '19', '23']
['286', '34', '33']
['286', '39', '38']
['286', '51', '50']
['286', '58', '57']
['286', '67', '70']
['286', '80', '77']
['286', '86', '87']
['286', '94', '98']
['286', '105', '104']
['286', '110', '114']
['286', '120', '123']
['286', '130', '134']
['286', '140', '142']
['286', '146', '150']
['286', '154', '161']
['286', '170', '168']
['286', '174', '172']
['286', '182', '181']
['286', '192', '195']
['286', '203', '199']
['286', '215', '214']
['286', '219', '223']
['286', '232', '231']
['286', '242', '236']
['286', '251', '247']
['286', '260', '258']
['286', '268', '264']
['287', '3']
['287', '10', '13']
['287', '25', '22']
['287', '30', '35']
['287', '41', '37']
['287', '48', '52']
['287', '56', '59']
['287', '64', '66']
['287', '75', '74']
['287', '87', '89']
['287', '91', '94']
['287', '106', '100']
['287', '110', '115']
['287', '123', '121']
['287', '127', '128']
['287', '138', '142']
['287', '147', '145']
['287', '157', '160']
['287', '168', '165']
['287', '179', '176']
['287', '186', '187']
['287', '193', '190']
['287', '206', '200']
['287', '208', '215']
['287', '218', '219']
['287', '233', '231']
['287', '239', '242']
['287', '249', '248']
['287', '258', '259']
['287', '266', '265']
['288', '5']
['288', '17', '14']
['288', '25', '22']
['288', '30', '29']
['288', '40', '37']
['288', '52', '49']
['288', '62', '59']
['288', '70', '67']
['288', '73', '77']
['288', '88', '87']
['288', '93', '91']
['288', '100', '107']
['288', '111', '112']
['288', '119', '122']
['288', '134', '127']
['288', '136', '143']
['288', '151', '145']
['288', '155', '160']
['288', '168', '170']
['288', '172', '178']
['288', '183', '187']
['288', '197', '193']
['288', '205', '200']
['288', '211', '214']
['288', '223', '222']
['288', '230', '229']
['288', '235', '237']
['288', '251', '248']
['288', '253', '255']
['288', '264', '269']
['289', '8']
['289', '11', '14']
['289', '24', '20']
['289', '29', '32']
['289', '44', '38']
['289', '46', '52']
['289', '60', '58']
['289', '64', '65']
['289', '74', '77']
['289', '84', '85']
['289', '91', '96']
['289', '105', '102']
['289', '109', '110']
['289', '121', '122']
['289', '133', '131']
['289', '137', '139']
['289', '152', '146']
['289', '154', '155']
['289', '163', '164']
['289', '174', '177']
['289', '185', '187']
['289', '192', '193']
['289', '201', '204']
['289', '214', '208']
['289', '221', '219']
['289', '232', '226']
['289', '238', '241']
['289', '248', '245']
['289', '256', '260']
['289', '266', '269']
['290', '6']
['290', '16', '15']
['290', '25', '26']
['290', '31', '28']
['290', '39', '44']
['290', '50', '46']
['290', '57', '56']
['290', '65', '66']
['290', '77', '76']
['290', '84', '87']
['290', '94', '97']
['290', '103', '104']
['290', '116', '111']
['290', '125', '120']
['290', '134', '127']
['290', '143', '141']
['290', '152', '146']
['290', '154', '159']
['290', '163', '166']
['290', '176', '172']
['290', '186', '187']
['290', '197', '196']
['290', '200', '206']
['290', '215', '209']
['290', '220', '217']
['290', '233', '228']
['290', '241', '242']
['290', '246', '250']
['290', '256', '257']
['290', '269', '263']
['291', '4']
['291', '14', '15']
['291', '21', '20']
['291', '31', '30']
['291', '40', '41']
['291', '50', '53']
['291', '58', '59']
['291', '68', '71']
['291', '78', '76']
['291', '89', '82']
['291', '91', '96']
['291', '103', '101']
['291', '115', '109']
['291', '124', '122']
['291', '128', '133']
['291', '139', '143']
['291', '150', '149']
['291', '157', '161']
['291', '167', '165']
['291', '175', '172']
['291', '181', '184']
['291', '194', '197']
['291', '199', '202']
['291', '213', '208']
['291', '219', '222']
['291', '226', '228']
['291', '238', '237']
['291', '245', '246']
['291', '254', '256']
['291', '266', '262']
['292', '2']
['292', '14', '13']
['292', '25', '22']
['292', '33', '30']
['292', '41', '40']
['292', '46', '47']
['292', '57', '62']
['292', '64', '71']
['292', '75', '78']
['292', '84', '86']
['292', '97', '93']
['292', '107', '102']
['292', '111', '115']
['292', '122', '124']
['292', '134', '133']
['292', '142', '139']
['292', '145', '152']
['292', '161', '159']
['292', '165', '169']
['292', '178', '173']
['292', '183', '187']
['292', '196', '192']
['292', '202', '201']
['292', '214', '210']
['292', '224', '221']
['292', '229', '231']
['292', '237', '238']
['292', '244', '251']
['292', '255', '253']
['292', '263', '264']
['293', '5']
['293', '11', '12']
['293', '23', '26']
['293', '34', '28']
['293', '37', '42']
['293', '53', '48']
['293', '62', '55']
['293', '70', '66']
['293', '74', '80']
['293', '89', '86']
['293', '97', '95']
['293', '100', '104']
['293', '115', '109']
['293', '124', '125']
['293', '133', '130']
['293', '142', '138']
['293', '148', '145']
['293', '158', '155']
['293', '168', '166']
['293', '174', '175']
['293', '183', '186']
['293', '193', '194']
['293', '204', '206']
['293', '208', '212']
['293', '217', '218']
['293', '226', '228']
['293', '241', '238']
['293', '251', '245']
['293', '256', '254']
['293', '265', '266']
['294', '4']
['294', '10', '11']
['294', '26', '22']
['294', '28', '29']
['294', '41', '40']
['294', '49', '46']
['294', '61', '58']
['294', '65', '64']
['294', '78', '75']
['294', '86', '82']
['294', '93', '97']
['294', '100', '105']
['294', '115', '112']
['294', '125', '119']
['294', '128', '133']
['294', '143', '138']
['294', '152', '145']
['294', '158', '154']
['294', '167', '169']
['294', '177', '175']
['294', '183', '184']
['294', '197', '193']
['294', '205', '200']
['294', '208', '211']
['294', '224', '219']
['294', '227', '233']
['294', '241', '237']
['294', '244', '249']
['294', '259', '254']
['294', '267', '268']
['295', '7']
['295', '11', '16']
['295', '25', '19']
['295', '30', '31']
['295', '37', '38']
['295', '53', '52']
['295', '61', '58']
['295', '66', '65']
['295', '77', '73']
['295', '85', '83']
['295', '91', '95']
['295', '107', '106']
['295', '112', '116']
['295', '123', '121']
['295', '134', '127']
['295', '141', '137']
['295', '147', '146']
['295', '159', '154']
['295', '163', '165']
['295', '174', '172']
['295', '182', '183']
['295', '192', '193']
['295', '205', '202']
['295', '215', '210']
['295', '221', '218']
['295', '226', '228']
['295', '240', '241']
['295', '249', '247']
['295', '259', '255']
['295', '269', '265']
['296', '7']
['296', '13', '12']
['296', '25', '22']
['296', '30', '28']
['296', '41', '39']
['296', '53', '50']
['296', '58', '55']
['296', '65', '67']
['296', '73', '77']
['296', '85', '84']
['296', '97', '92']
['296', '105', '103']
['296', '115', '116']
['296', '119', '124']
['296', '130', '132']
['296', '140', '136']
['296', '146', '145']
['296', '161', '155']
['296', '169', '170']
['296', '178', '175']
['296', '182', '186']
['296', '193', '192']
['296', '201', '199']
['296', '214', '212']
['296', '218', '222']
['296', '231', '226']
['296', '239', '237']
['296', '247', '244']
['296', '253', '259']
['296', '262', '266']
['297', '5']
['297', '12', '17']
['297', '24', '23']
['297', '28', '32']
['297', '43', '39']
['297', '49', '50']
['297', '61', '57']
['297', '67', '68']
['297', '73', '77']
['297', '85', '87']
['297', '93', '96']
['297', '100', '101']
['297', '112', '116']
['297', '121', '120']
['297', '131', '133']
['297', '142', '136']
['297', '145', '152']
['297', '155', '161']
['297', '169', '170']
['297', '179', '173']
['297', '181', '184']
['297', '190', '194']
['297', '206', '205']
['297', '213', '208']
['297', '221', '222']
['297', '228', '230']
['297', '237', '242']
['297', '244', '247']
['297', '254', '256']
['297', '263', '266']
['298', '6']
['298', '14', '11']
['298', '21', '25']
['298', '31', '34']
['298', '39', '40']
['298', '49', '52']
['298', '58', '57']
['298', '71', '67']
['298', '80', '75']
['298', '86', '88']
['298', '92', '98']
['298', '103', '105']
['298', '116', '110']
['298', '124', '119']
['298', '130', '129']
['298', '137', '142']
['298', '147', '151']
['298', '159', '157']
['298', '167', '168']
['298', '172', '179']
['298', '183', '186']
['298', '191', '193']
['298', '202', '204']
['298', '213', '209']
['298', '218', '220']
['298', '231', '226']
['298', '241', '236']
['298', '248', '244']
['298', '257', '256']
['298', '266', '264']
['299', '8']
['299', '16', '10']
['299', '22', '23']
['299', '35', '28']
['299', '40', '38']
['299', '48', '50']
['299', '56', '62']
['299', '68', '65']
['299', '75', '78']
['299', '82', '85']
['299', '95', '91']
['299', '100', '103']
['299', '112', '109']
['299', '124', '120']
['299', '127', '130']
['299', '139', '141']
['299', '150', '151']
['299', '157', '159']
['299', '170', '163']
['299', '175', '172']
['299', '183', '184']
['299', '193', '192']
['299', '206', '201']
['299', '214', '212']
['299', '219', '218']
['299', '231', '229']
['299', '239', '236']
['299', '250', '248']
['299', '260', '256']
['299', '269', '268']
