63
8
['1', '67', '8']
['1', '133', '16']
['1', '199', '24']
['1', '265', '33']
['1', '331', '41']
['1', '397', '49']
['1', '463', '57']
['67', '133', '8']
['67', '199', '8']
['67', '265', '8']
['67', '331', '8']
['67', '397', '8']
['67', '463', '8']
['133', '199', '16']
['133', '265', '16']
['133', '331', '16']
['133', '397', '16']
['133', '463', '16']
['199', '265', '24']
['199', '331', '24']
['199', '397', '24']
['199', '463', '24']
['265', '331', '33']
['265', '397', '33']
['265', '463', '33']
['331', '397', '41']
['331', '463', '41']
['397', '463', '49']
['34', '100', '4']
['34', '166', '4']
['34', '232', '4']
['34', '298', '4']
['34', '364', '4']
['34', '430', '4']
['34', '496', '4']
['100', '166', '12']
['100', '232', '12']
['100', '298', '12']
['100', '364', '12']
['100', '430', '12']
['100', '496', '12']
['166', '232', '20']
['166', '298', '20']
['166', '364', '20']
['166', '430', '20']
['166', '496', '20']
['232', '298', '29']
['232', '364', '29']
['232', '430', '29']
['232', '496', '29']
['298', '364', '37']
['298', '430', '37']
['298', '496', '37']
['364', '430', '45']
['364', '496', '45']
['430', '496', '53']
['1', '133', '199', '265', '16']
['1', '133', '199', '331', '16']
['1', '133', '199', '397', '16']
['1', '133', '199', '463', '16']
['1', '133', '265', '331', '16']
['1', '133', '265', '397', '16']
['1', '133', '265', '463', '16']
['1', '133', '331', '397', '16']
['1', '133', '331', '463', '16']
['1', '133', '397', '463', '16']
['1', '199', '265', '331', '24']
['1', '199', '265', '397', '24']
['1', '199', '265', '463', '24']
['1', '199', '331', '397', '24']
['1', '199', '331', '463', '24']
['1', '199', '397', '463', '24']
['1', '265', '331', '397', '33']
['1', '265', '331', '463', '33']
['1', '265', '397', '463', '33']
['1', '331', '397', '463', '41']
['67', '133', '199', '265', '8']
['67', '133', '199', '331', '8']
['67', '133', '199', '397', '8']
['67', '133', '199', '463', '8']
['67', '133', '265', '331', '8']
['67', '133', '265', '397', '8']
['67', '133', '265', '463', '8']
['67', '133', '331', '397', '8']
['67', '133', '331', '463', '8']
['67', '133', '397', '463', '8']
['67', '199', '265', '331', '8']
['67', '199', '265', '397', '8']
['67', '199', '265', '463', '8']
['67', '199', '331', '397', '8']
['67', '199', '331', '463', '8']
['67', '199', '397', '463', '8']
['67', '265', '331', '397', '8']
['67', '265', '331', '463', '8']
['67', '265', '397', '463', '8']
['67', '331', '397', '463', '8']
['133', '199', '265', '331', '16']
['133', '199', '265', '397', '16']
['133', '199', '265', '463', '16']
['133', '199', '331', '397', '16']
['133', '199', '331', '463', '16']
['133', '199', '397', '463', '16']
['133', '265', '331', '397', '16']
['133', '265', '331', '463', '16']
['133', '265', '397', '463', '16']
['133', '331', '397', '463', '16']
['199', '265', '331', '397', '24']
['199', '265', '331', '463', '24']
['199', '265', '397', '463', '24']
['199', '331', '397', '463', '24']
['265', '331', '397', '463', '33']
['34', '100', '166', '232', '4']
['34', '100', '166', '298', '4']
['34', '100', '166', '364', '4']
['34', '100', '166', '430', '4']
['34', '100', '166', '496', '4']
['34', '100', '232', '298', '4']
['34', '100', '232', '364', '4']
['34', '100', '232', '430', '4']
['34', '100', '232', '496', '4']
['34', '100', '298', '364', '4']
['34', '100', '298', '430', '4']
['34', '100', '298', '496', '4']
['34', '100', '364', '430', '4']
['34', '100', '364', '496', '4']
['34', '100', '430', '496', '4']
['34', '166', '232', '298', '4']
['34', '166', '232', '364', '4']
['34', '166', '232', '430', '4']
['34', '166', '232', '496', '4']
['34', '166', '298', '364', '4']
['34', '166', '298', '430', '4']
['34', '166', '298', '496', '4']
['34', '166', '364', '430', '4']
['34', '166', '364', '496', '4']
['34', '166', '430', '496', '4']
['34', '232', '298', '364', '4']
['34', '232', '298', '430', '4']
['34', '232', '298', '496', '4']
['34', '232', '364', '430', '4']
['34', '232', '364', '496', '4']
['34', '232', '430', '496', '4']
['34', '298', '364', '430', '4']
['34', '298', '364', '496', '4']
['34', '298', '430', '496', '4']
['34', '364', '430', '496', '4']
['100', '166', '232', '298', '12']
['100', '166', '232', '364', '12']
['100', '166', '232', '430', '12']
['100', '166', '232', '496', '12']
['100', '166', '298', '364', '12']
['100', '166', '298', '430', '12']
['100', '166', '298', '496', '12']
['100', '166', '364', '430', '12']
['100', '166', '364', '496', '12']
['100', '166', '430', '496', '12']
['100', '232', '298', '364', '12']
['100', '232', '298', '430', '12']
['100', '232', '298', '496', '12']
['100', '232', '364', '430', '12']
['100', '232', '364', '496', '12']
['100', '232', '430', '496', '12']
['100', '298', '364', '430', '12']
['100', '298', '364', '496', '12']
['100', '298', '430', '496', '12']
['100', '364', '430', '496', '12']
['166', '232', '298', '364', '20']
['166', '232', '298', '430', '20']
['166', '232', '298', '496', '20']
['166', '232', '364', '430', '20']
['166', '232', '364', '496', '20']
['166', '232', '430', '496', '20']
['166', '298', '364', '430', '20']
['166', '298', '364', '496', '20']
['166', '298', '430', '496', '20']
['166', '364', '430', '496', '20']
['232', '298', '364', '430', '29']
['232', '298', '364', '496', '29']
['232', '298', '430', '496', '29']
['232', '364', '430', '496', '29']
['298', '364', '430', '496', '37']
['1', '67', '133', '199', '265', '8']
['1', '67', '133', '199', '331', '8']
['1', '67', '133', '199', '397', '8']
['1', '67', '133', '199', '463', '8']
['1', '67', '133', '265', '331', '8']
['1', '67', '133', '265', '397', '8']
['1', '67', '133', '265', '463', '8']
['1', '67', '133', '331', '397', '8']
['1', '67', '133', '331', '463', '8']
['1', '67', '133', '397', '463', '8']
['1', '67', '199', '265', '331', '8']
['1', '67', '199', '265', '397', '8']
['1', '67', '199', '265', '463', '8']
['1', '67', '199', '331', '397', '8']
['1', '67', '199', '331', '463', '8']
['1', '67', '199', '397', '463', '8']
['1', '67', '265', '331', '397', '8']
['1', '67', '265', '331', '463', '8']
['1', '67', '265', '397', '463', '8']
['1', '67', '331', '397', '463', '8']
['1', '133', '199', '265', '331', '16']
['1', '133', '199', '265', '397', '16']
['1', '133', '199', '265', '463', '16']
['1', '133', '199', '331', '397', '16']
['1', '133', '199', '331', '463', '16']
['1', '133', '199', '397', '463', '16']
['1', '133', '265', '331', '397', '16']
['1', '133', '265', '331', '463', '16']
['1', '133', '265', '397', '463', '16']
['1', '133', '331', '397', '463', '16']
['1', '199', '265', '331', '397', '24']
['1', '199', '265', '331', '463', '24']
['1', '199', '265', '397', '463', '24']
['1', '199', '331', '397', '463', '24']
['1', '265', '331', '397', '463', '33']
['67', '133', '199', '265', '331', '8']
['67', '133', '199', '265', '397', '8']
['67', '133', '199', '265', '463', '8']
['67', '133', '199', '331', '397', '8']
['67', '133', '199', '331', '463', '8']
['67', '133', '199', '397', '463', '8']
['67', '133', '265', '331', '397', '8']
['67', '133', '265', '331', '463', '8']
['67', '133', '265', '397', '463', '8']
['67', '133', '331', '397', '463', '8']
['67', '199', '265', '331', '397', '8']
['67', '199', '265', '331', '463', '8']
['67', '199', '265', '397', '463', '8']
['67', '199', '331', '397', '463', '8']
['67', '265', '331', '397', '463', '8']
['133', '199', '265', '331', '397', '16']
['133', '199', '265', '331', '463', '16']
['133', '199', '265', '397', '463', '16']
['133', '199', '331', '397', '463', '16']
['133', '265', '331', '397', '463', '16']
['199', '265', '331', '397', '463', '24']
['34', '100', '166', '232', '298', '4']
['34', '100', '166', '232', '364', '4']
['34', '100', '166', '232', '430', '4']
['34', '100', '166', '232', '496', '4']
['34', '100', '166', '298', '364', '4']
['34', '100', '166', '298', '430', '4']
['34', '100', '166', '298', '496', '4']
['34', '100', '166', '364', '430', '4']
['34', '100', '166', '364', '496', '4']
['34', '100', '166', '430', '496', '4']
['34', '100', '232', '298', '364', '4']
['34', '100', '232', '298', '430', '4']
['34', '100', '232', '298', '496', '4']
['34', '100', '232', '364', '430', '4']
['34', '100', '232', '364', '496', '4']
['34', '100', '232', '430', '496', '4']
['34', '100', '298', '364', '430', '4']
['34', '100', '298', '364', '496', '4']
['34', '100', '298', '430', '496', '4']
['34', '100', '364', '430', '496', '4']
['34', '166', '232', '298', '364', '4']
['34', '166', '232', '298', '430', '4']
['34', '166', '232', '298', '496', '4']
['34', '166', '232', '364', '430', '4']
['34', '166', '232', '364', '496', '4']
['34', '166', '232', '430', '496', '4']
['34', '166', '298', '364', '430', '4']
['34', '166', '298', '364', '496', '4']
['34', '166', '298', '430', '496', '4']
['34', '166', '364', '430', '496', '4']
['34', '232', '298', '364', '430', '4']
['34', '232', '298', '364', '496', '4']
['34', '232', '298', '430', '496', '4']
['34', '232', '364', '430', '496', '4']
['34', '298', '364', '430', '496', '4']
['100', '166', '232', '298', '364', '12']
['100', '166', '232', '298', '430', '12']
['100', '166', '232', '298', '496', '12']
['100', '166', '232', '364', '430', '12']
['100', '166', '232', '364', '496', '12']
['100', '166', '232', '430', '496', '12']
['100', '166', '298', '364', '430', '12']
['100', '166', '298', '364', '496', '12']
['100', '166', '298', '430', '496', '12']
['100', '166', '364', '430', '496', '12']
['100', '232', '298', '364', '430', '12']
['100', '232', '298', '364', '496', '12']
['100', '232', '298', '430', '496', '12']
['100', '232', '364', '430', '496', '12']
['100', '298', '364', '430', '496', '12']
['166', '232', '298', '364', '430', '20']
['166', '232', '298', '364', '496', '20']
['166', '232', '298', '430', '496', '20']
['166', '232', '364', '430', '496', '20']
['166', '298', '364', '430', '496', '20']
['232', '298', '364', '430', '496', '29']
['1', '67', '133', '199', '265', '331', '8']
['1', '67', '133', '199', '265', '397', '8']
['1', '67', '133', '199', '265', '463', '8']
['1', '67', '133', '199', '331', '397', '8']
['1', '67', '133', '199', '331', '463', '8']
['1', '67', '133', '199', '397', '463', '8']
['1', '67', '133', '265', '331', '397', '8']
['1', '67', '133', '265', '331', '463', '8']
['1', '67', '133', '265', '397', '463', '8']
['1', '67', '133', '331', '397', '463', '8']
['1', '67', '199', '265', '331', '397', '8']
['1', '67', '199', '265', '331', '463', '8']
['1', '67', '199', '265', '397', '463', '8']
['1', '67', '199', '331', '397', '463', '8']
['1', '67', '265', '331', '397', '463', '8']
['1', '133', '199', '265', '331', '397', '16']
['1', '133', '199', '265', '331', '463', '16']
['1', '133', '199', '265', '397', '463', '16']
['1', '133', '199', '331', '397', '463', '16']
['1', '133', '265', '331', '397', '463', '16']
['1', '199', '265', '331', '397', '463', '24']
['67', '133', '199', '265', '331', '397', '8']
['67', '133', '199', '265', '331', '463', '8']
['67', '133', '199', '265', '397', '463', '8']
['67', '133', '199', '331', '397', '463', '8']
['67', '133', '265', '331', '397', '463', '8']
['67', '199', '265', '331', '397', '463', '8']
['133', '199', '265', '331', '397', '463', '16']
['34', '100', '166', '232', '298', '364', '4']
['34', '100', '166', '232', '298', '430', '4']
['34', '100', '166', '232', '298', '496', '4']
['34', '100', '166', '232', '364', '430', '4']
['34', '100', '166', '232', '364', '496', '4']
['34', '100', '166', '232', '430', '496', '4']
['34', '100', '166', '298', '364', '430', '4']
['34', '100', '166', '298', '364', '496', '4']
['34', '100', '166', '298', '430', '496', '4']
['34', '100', '166', '364', '430', '496', '4']
['34', '100', '232', '298', '364', '430', '4']
['34', '100', '232', '298', '364', '496', '4']
['34', '100', '232', '298', '430', '496', '4']
['34', '100', '232', '364', '430', '496', '4']
['34', '100', '298', '364', '430', '496', '4']
['34', '166', '232', '298', '364', '430', '4']
['34', '166', '232', '298', '364', '496', '4']
['34', '166', '232', '298', '430', '496', '4']
['34', '166', '232', '364', '430', '496', '4']
['34', '166', '298', '364', '430', '496', '4']
['34', '232', '298', '364', '430', '496', '4']
['100', '166', '232', '298', '364', '430', '12']
['100', '166', '232', '298', '364', '496', '12']
['100', '166', '232', '298', '430', '496', '12']
['100', '166', '232', '364', '430', '496', '12']
['100', '166', '298', '364', '430', '496', '12']
['100', '232', '298', '364', '430', '496', '12']
['166', '232', '298', '364', '430', '496', '20']
['1', '67', '133', '199', '265', '331', '397', '8']
['1', '67', '133', '199', '265', '331', '463', '8']
['1', '67', '133', '199', '265', '397', '463', '8']
['1', '67', '133', '199', '331', '397', '463', '8']
['1', '67', '133', '265', '331', '397', '463', '8']
['1', '67', '199', '265', '331', '397', '463', '8']
['1', '133', '199', '265', '331', '397', '463', '16']
['67', '133', '199', '265', '331', '397', '463', '8']
['34', '100', '166', '232', '298', '364', '430', '4']
['34', '100', '166', '232', '298', '364', '496', '4']
['34', '100', '166', '232', '298', '430', '496', '4']
['34', '100', '166', '232', '364', '430', '496', '4']
['34', '100', '166', '298', '364', '430', '496', '4']
['34', '100', '232', '298', '364', '430', '496', '4']
['34', '166', '232', '298', '364', '430', '496', '4']
['100', '166', '232', '298', '364', '430', '496', '12']
