16
16
['190', '48', '232', '109', '164', '188', '240', '92', '140', '177', '152', '134', '170', '72', '65', '118']
['12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '42']
['37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '220']
['161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '103']
['254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '26']
['5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '14']
['106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '173']
['154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '143']
['49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '162']
['116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '252']
['100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '238']
['84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '189']
['4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '10']
['75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '18']
['99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '112']
['200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '243']
['232', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['109', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['109', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['109', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['109', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['109', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['109', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['109', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['109', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['109', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['109', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['109', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['109', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['109', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['109', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['109', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['164', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['164', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['164', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['164', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['164', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['164', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['164', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['164', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['164', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['164', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['164', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['164', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['164', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['164', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['164', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['188', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['188', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['188', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['188', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['188', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['188', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['188', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['188', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['188', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['188', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['188', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['188', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['188', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['188', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['188', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['240', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['240', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['240', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['240', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['240', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['240', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['240', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['240', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['240', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['240', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['240', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['240', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['240', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['240', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['240', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['92', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['92', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['92', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['92', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['92', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['92', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['92', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['92', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['92', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['92', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['92', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['92', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['92', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['92', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['92', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['140', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['140', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['140', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['140', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['140', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['140', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['140', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['140', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['140', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['140', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['140', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['140', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['140', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['140', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['140', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['177', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['177', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['177', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['177', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['177', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['177', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['177', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['177', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['177', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['177', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['177', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['177', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['177', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['177', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['177', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['152', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['152', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['152', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['152', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['152', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['152', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['152', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['152', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['152', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['152', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['152', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['152', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['152', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['152', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['152', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['134', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['134', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['134', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['134', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['134', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['134', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['134', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['134', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['134', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['134', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['134', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['134', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['134', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['134', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['134', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['170', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['170', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['170', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['170', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['170', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['170', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['170', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['170', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['170', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['170', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['170', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['170', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['170', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['170', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['170', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['72', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['72', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['72', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['72', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['72', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['72', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['72', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['72', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['72', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['72', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['72', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['72', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['72', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['72', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['72', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['65', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['65', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['65', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['65', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['65', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['65', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['65', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['65', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['65', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['65', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['65', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['65', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['65', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
['65', '99', '1', '218', '35', '55', '256', '237', '128', '95', '47', '64', '39', '137', '239', '83', '243']
['65', '200', '247', '90', '66', '19', '184', '70', '196', '121', '82', '59', '194', '124', '58', '56', '118']
['42', '12', '94', '131', '15', '186', '43', '145', '11', '166', '234', '151', '204', '210', '21', '213', '220']
['42', '37', '219', '81', '51', '111', '192', '236', '29', '251', '241', '255', '57', '165', '195', '60', '103']
['42', '161', '179', '63', '69', '156', '198', '178', '159', '223', '244', '87', '117', '123', '227', '242', '26']
['42', '254', '6', '182', '230', '24', '172', '91', '61', '215', '113', '147', '250', '97', '216', '211', '14']
['42', '5', '199', '108', '135', '233', '114', '34', '226', '80', '245', '41', '169', '50', '25', '214', '173']
['42', '106', '38', '122', '52', '22', '175', '74', '203', '30', '231', '158', '67', '205', '93', '85', '143']
['42', '154', '187', '98', '23', '32', '96', '221', '202', '248', '71', '132', '53', '155', '77', '176', '162']
['42', '49', '2', '136', '45', '104', '78', '119', '141', '125', '62', '235', '107', '139', '138', '73', '252']
['42', '116', '206', '146', '167', '130', '126', '86', '76', '54', '127', '246', '193', '44', '181', '185', '238']
['42', '100', '180', '191', '79', '222', '249', '197', '105', '9', '115', '16', '168', '253', '8', '228', '189']
['42', '84', '183', '201', '225', '101', '229', '171', '13', '3', '7', '110', '17', '33', '46', '88', '10']
['42', '4', '207', '224', '150', '142', '212', '102', '217', '89', '153', '209', '163', '160', '148', '208', '18']
['42', '75', '36', '129', '120', '133', '144', '28', '157', '68', '20', '174', '40', '149', '31', '27', '112']
