4
150
['350', '479', '449', '473', '491', '379']
['449', '485', '388', '396', '451', '368']
['461', '478', '353', '385', '386', '398']
['468', '381', '398', '367', '453', '460']
['469', '480', '497', '397', '408', '415']
['470', '358', '359', '371', '380', '426']
['476', '384', '407', '421', '439', '370']
['483', '498', '393', '410', '496', '361']
['486', '354', '372', '391', '409', '418']
['495', '438', '360', '421', '458', '461']
['350', '417', '446', '371', '353', '370']
['355', '363', '373', '411', '414', '453']
['357', '444', '359', '439', '483', '484']
['364', '374', '412', '461', '368', '380']
['377', '433', '392', '428', '446', '452']
['392', '396', '465', '373', '390', '393']
['400', '406', '423', '487', '407', '442']
['404', '432', '436', '457', '482', '499']
['405', '466', '474', '353', '445', '478']
['420', '460', '476', '350', '358', '380']
['427', '456', '459', '489', '413', '468']
['431', '437', '447', '462', '491', '498']
['435', '486', '358', '409', '378', '394']
['440', '463', '364', '405', '424', '443']
['441', '455', '473', '480', '365', '450']
['443', '464', '494', '357', '415', '426']
['445', '471', '384', '490', '499', '364']
['449', '467', '378', '404', '406', '422']
['451', '399', '423', '437', '467', '357']
['454', '458', '468', '352', '354', '363']
['476', '351', '356', '400', '429', '448']
['477', '481', '483', '485', '454', '466']
['478', '350', '449', '455', '457', '470']
['492', '387', '410', '464', '471', '362']
['497', '441', '498', '376', '382', '390']
['366', '374', '381', '397', '401', '402']
['372', '382', '403', '435', '477', '482']
['375', '376', '418', '438', '480', '366']
['377', '481', '487', '385', '397', '406']
['379', '394', '444', '495', '351', '354']
['383', '416', '447', '359', '360', '361']
['385', '391', '427', '430', '434', '474']
['388', '419', '433', '473', '486', '491']
['389', '395', '412', '432', '465', '488']
['408', '436', '459', '363', '369', '371']
['414', '440', '475', '489', '492', '493']
['420', '425', '462', '479', '494', '381']
['456', '463', '469', '352', '387', '389']
['472', '485', '497', '356', '386', '388']
['496', '355', '372', '374', '393', '402']
['365', '383', '384', '392', '400', '401']
['367', '373', '377', '395', '396', '403']
['375', '418', '420', '442', '443', '446']
['379', '415', '419', '432', '434', '436']
['391', '399', '407', '410', '417', '424']
['398', '405', '423', '425', '429', '431']
['404', '408', '409', '412', '421', '430']
['411', '416', '422', '437', '445', '449']
['413', '426', '427', '438', '452', '468']
['414', '428', '433', '441', '444', '450']
['435', '439', '448', '459', '465', '466']
['440', '455', '456', '464', '473', '495']
['447', '453', '454', '460', '462', '463']
['451', '458', '467', '477', '478', '482']
['457', '470', '474', '479', '484', '485']
['461', '469', '475', '481', '498', '499']
['471', '351', '354', '367', '376', '382']
['472', '476', '357', '368', '373', '374']
['480', '489', '496', '360', '363', '371']
['483', '488', '490', '492', '366', '369']
['486', '487', '491', '352', '353', '364']
['493', '494', '497', '356', '359', '362']
['350', '355', '358', '361', '370', '381']
['365', '372', '379', '383', '386', '404']
['375', '377', '378', '380', '384', '385']
['393', '394', '395', '396', '397', '403']
['400', '401', '406', '408', '412', '417']
['402', '405', '407', '409', '410', '411']
['414', '415', '420', '422', '423', '429']
['416', '418', '419', '421', '424', '434']
['426', '431', '437', '438', '440', '445']
['427', '455', '463', '466', '470', '496']
['428', '430', '435', '436', '443', '444']
['432', '433', '441', '447', '459', '461']
['439', '450', '452', '483', '488', '490']
['442', '446', '453', '456', '460', '462']
['448', '449', '451', '458', '473', '481']
['454', '457', '475', '476', '485', '489']
['464', '465', '471', '474', '478', '484']
['467', '468', '479', '480', '491', '492']
['469', '472', '477', '482', '486', '494']
['487', '493', '495', '497', '498', '352']
['351', '354', '355', '360', '361', '391']
['353', '356', '357', '358', '359', '389']
['387', '388', '390', '392', '393', '400']
['398', '399', '402', '403', '405', '406']
['401', '404', '407', '408', '410', '411']
['409', '412', '413', '416', '417', '418']
['414', '415', '419', '420', '421', '436']
['433', '434', '435', '437', '438', '456']
['441', '443', '449', '455', '459', '468']
['442', '447', '450', '451', '471', '476']
['444', '446', '448', '453', '454', '457']
['445', '458', '461', '464', '466', '470']
['452', '460', '462', '473', '481', '493']
['463', '479', '483', '485', '496', '498']
['465', '484', '491', '494', '499', '352']
['467', '472', '475', '486', '487', '489']
['469', '474', '477', '478', '480', '482']
['488', '490', '495', '497', '351', '353']
['492', '350', '354', '355', '356', '373']
['361', '363', '364', '367', '375', '396']
['362', '366', '371', '372', '376', '401']
['365', '368', '369', '370', '374', '400']
['395', '397', '399', '411', '414', '421']
['398', '404', '406', '438', '440', '443']
['402', '405', '407', '408', '409', '410']
['403', '419', '425', '434', '456', '458']
['412', '416', '420', '437', '442', '446']
['413', '422', '436', '455', '461', '462']
['415', '418', '424', '454', '470', '482']
['417', '439', '441', '447', '457', '459']
['423', '426', '427', '428', '429', '430']
['431', '435', '444', '463', '469', '472']
['432', '445', '449', '460', '464', '466']
['433', '448', '473', '489', '499', '350']
['450', '451', '452', '453', '471', '477']
['465', '467', '478', '483', '490', '496']
['468', '475', '476', '484', '492', '494']
['474', '479', '481', '491', '495', '497']
['480', '485', '486', '488', '493', '498']
['487', '351', '352', '353', '354', '364']
['362', '363', '366', '367', '370', '378']
['365', '368', '372', '376', '379', '399']
['369', '371', '373', '374', '375', '377']
['398', '400', '401', '403', '404', '408']
['402', '405', '406', '410', '413', '414']
['407', '409', '411', '412', '415', '458']
['457', '459', '460', '461', '463', '464']
['462', '465', '466', '467', '468', '474']
['472', '473', '479', '481', '482', '488']
['475', '476', '477', '478', '480', '486']
['485', '487', '490', '491', '496', '352']
['489', '492', '493', '494', '495', '355']
['351', '353', '354', '356', '357', '367']
['365', '366', '369', '370', '373', '374']
['368', '371', '372', '375', '376', '388']
['387', '389', '390', '391', '392', '407']
['398', '401', '402', '403', '408', '415']
['399', '400', '404', '405', '406', '417']
['414', '416', '418', '419', '420', '430']
['429', '431', '432', '433', '434', '439']
['438', '440', '441', '442', '443', '449']
['448', '450', '451', '452', '453', '462']
['461', '463', '464', '465', '466', '473']
['467', '469', '470', '471', '472', '475']
['468', '474', '476', '478', '480', '482']
['477', '479', '483', '484', '485', '488']
['481', '486', '487', '489', '490', '351']
['495', '496', '497', '498', '499', '353']
['350', '352', '354', '355', '356', '359']
['358', '360', '361', '362', '363', '370']
['367', '368', '369', '371', '372', '385']
['378', '379', '383', '384', '386', '388']
['380', '381', '382', '387', '389', '397']
['395', '396', '398', '399', '400', '403']
['402', '404', '405', '406', '407', '412']
['411', '413', '414', '415', '416', '425']
['422', '423', '424', '433', '439', '441']
['426', '427', '429', '431', '436', '437']
['428', '434', '445', '446', '452', '473']
['430', '432', '435', '438', '443', '449']
['440', '442', '450', '457', '461', '466']
['444', '451', '453', '456', '462', '464']
['447', '454', '475', '480', '484', '490']
['448', '455', '458', '459', '463', '471']
['460', '465', '467', '469', '472', '474']
['468', '470', '477', '481', '483', '485']
['476', '478', '479', '482', '486', '488']
['487', '489', '491', '492', '493', '358']
['354', '355', '356', '357', '359', '370']
['369', '371', '372', '374', '375', '377']
['373', '376', '378', '379', '380', '391']
['390', '392', '393', '394', '395', '399']
['398', '400', '401', '402', '403', '412']
['411', '413', '414', '415', '416', '434']
['431', '432', '433', '435', '436', '445']
['437', '438', '439', '440', '441', '444']
['443', '446', '447', '449', '451', '452']
['448', '453', '454', '458', '460', '467']
['450', '455', '457', '466', '470', '472']
['456', '461', '462', '463', '464', '469']
['459', '465', '468', '471', '473', '481']
['480', '482', '483', '484', '485', '491']
['489', '490', '492', '493', '494', '357']
['498', '499', '351', '355', '361', '362']
['350', '352', '354', '359', '360', '378']
['353', '358', '366', '371', '390', '393']
['356', '370', '381', '395', '415', '420']
['363', '364', '368', '373', '374', '376']
['365', '372', '375', '384', '388', '397']
['367', '369', '377', '383', '392', '401']
['379', '380', '386', '398', '404', '414']
['382', '396', '402', '403', '406', '416']
['385', '391', '399', '409', '418', '419']
['387', '389', '400', '405', '411', '413']
['394', '417', '421', '424', '425', '442']
['407', '408', '410', '412', '422', '423']
['426', '427', '428', '429', '430', '443']
['441', '444', '445', '446', '447', '465']
['463', '464', '466', '467', '468', '479']
['477', '478', '480', '481', '482', '355']
['494', '495', '496', '497', '498', '351']
['350', '352', '357', '358', '359', '363']
['353', '356', '362', '364', '367', '376']
['354', '360', '361', '365', '366', '377']
['375', '381', '382', '385', '392', '408']
['378', '402', '409', '414', '422', '441']
['379', '380', '384', '390', '403', '416']
['383', '388', '391', '393', '396', '397']
['386', '387', '389', '398', '417', '424']
['394', '400', '411', '425', '444', '445']
['395', '399', '413', '415', '418', '419']
['401', '406', '410', '420', '423', '431']
['404', '436', '442', '443', '446', '450']
['405', '407', '429', '433', '435', '438']
['412', '426', '430', '447', '452', '474']
['421', '427', '428', '432', '434', '437']
['439', '453', '455', '462', '463', '476']
['440', '448', '449', '457', '459', '461']
['451', '454', '456', '458', '460', '473']
['472', '475', '477', '478', '480', '485']
['479', '482', '483', '484', '486', '490']
['481', '496', '360', '362', '363', '386']
['487', '489', '491', '350', '352', '358']
['488', '493', '495', '353', '355', '359']
['492', '497', '499', '351', '354', '356']
['494', '498', '357', '361', '364', '384']
['383', '385', '387', '388', '389', '400']
['398', '399', '401', '403', '405', '407']
['402', '404', '406', '408', '409', '420']
['418', '419', '421', '422', '423', '425']
['424', '426', '427', '428', '429', '435']
['433', '436', '437', '439', '440', '448']
['434', '442', '443', '444', '446', '449']
['438', '441', '445', '447', '450', '454']
['451', '452', '453', '455', '456', '461']
['460', '462', '463', '464', '465', '473']
['472', '474', '476', '478', '479', '480']
['475', '477', '485', '491', '495', '496']
['481', '482', '483', '484', '486', '487']
['488', '489', '490', '494', '352', '354']
['492', '493', '497', '498', '499', '356']
['350', '351', '353', '355', '357', '364']
['362', '363', '365', '366', '368', '369']
['367', '370', '371', '372', '373', '381']
['380', '382', '383', '384', '385', '389']
['386', '390', '391', '394', '396', '402']
['387', '392', '393', '398', '405', '413']
['388', '399', '410', '420', '421', '429']
['395', '397', '403', '408', '411', '414']
['400', '401', '404', '406', '407', '416']
['409', '412', '418', '419', '422', '424']
['415', '433', '434', '440', '446', '451']
['417', '423', '425', '427', '435', '436']
['426', '428', '430', '444', '448', '457']
['431', '432', '439', '443', '450', '458']
['437', '438', '442', '445', '452', '454']
['441', '449', '455', '460', '463', '473']
['447', '453', '456', '459', '461', '462']
['472', '474', '475', '476', '478', '481']
['477', '479', '480', '482', '483', '487']
['486', '488', '489', '490', '491', '350']
['498', '499', '351', '352', '353', '355']
['354', '356', '357', '358', '359', '376']
['375', '387', '390', '391', '392', '409']
['377', '378', '380', '384', '385', '389']
['379', '381', '382', '383', '386', '388']
['403', '404', '405', '406', '408', '411']
['407', '410', '412', '413', '414', '422']
['419', '421', '426', '429', '430', '438']
['420', '423', '424', '425', '427', '428']
['436', '437', '440']
['439']
['441']
['2', '3', '4', '16', '17', '24']
['5', '10', '28', '42', '43', '63']
['6', '7', '14', '15', '20', '33']
['8', '19', '21', '38', '41', '49']
['9', '11', '12', '13', '23', '37']
['18', '22', '29', '52', '65', '124']
['25', '27', '31', '32', '36', '48']
['26', '35', '46', '71', '72', '86']
['30', '40', '45', '56', '62', '82']
['34', '39', '44', '54', '59', '60']
['47', '51', '53', '57', '74', '81']
['50', '80', '83', '84', '93', '99']
['55', '61', '70', '87', '98', '120']
['58', '67', '73', '85', '92', '101']
['64', '88', '91', '125', '188', '201']
['66', '76', '79', '96', '130', '211']
['68', '114', '122', '139', '150', '219']
['69', '89', '105', '131', '132', '159']
['75', '78', '110', '141', '174', '194']
['77', '97', '102', '113', '145', '162']
['90', '119', '189', '208', '225', '310']
['94', '108', '112', '167', '193', '218']
['95', '107', '115', '118', '158', '178']
['100', '175', '190', '241', '318', '324']
['103', '104', '117', '121', '142', '151']
['106', '116', '123', '127', '129', '187']
['109', '136', '144', '153', '181', '184']
['111', '133', '154', '164', '169', '173']
['126', '134', '137', '168', '204', '223']
['128', '135', '172', '176', '179', '186']
['138', '140', '146', '177', '196', '230']
['143', '147', '149', '155', '170', '306']
['148', '152', '222', '239', '282', '8']
['156', '180', '185', '198', '206', '212']
['157', '160', '197', '200', '304', '65']
['161', '195']
['163', '166', '202', '224', '240', '305']
['165', '215', '13', '126', '136', '270']
['171', '191', '226', '262', '265', '301']
['182', '205', '242', '270', '281', '286']
['183', '207', '274', '298', '315', '338']
['192', '217', '220', '221', '257', '266']
['199', '213', '214', '231', '256', '268']
['203', '209', '210', '245', '252', '275']
['216', '344', '348', '12', '27', '161']
['227', '244', '276', '320', '339', '349']
['228', '238', '323', '67', '230']
['229', '290', '299', '43', '51', '71']
['232', '250', '278', '313', '16', '44']
['233', '280', '346', '0', '108', '135']
['234', '248', '271', '303', '336', '24']
['235', '285', '292', '317', '334', '102']
['236', '273', '284', '330', '6', '28']
['237', '243', '253', '254', '267', '311']
['246', '260', '264', '277', '335', '119']
['247', '263', '283', '287', '19', '123']
['249', '258', '288', '293', '150']
['251', '255', '118']
['259', '307', '52', '158', '164', '201']
['261', '75', '121', '283', '291']
['269', '279', '316', '342', '23', '76']
['272', '325', '107', '156', '200']
['289', '2', '11', '60', '86', '89']
['291', '50', '74', '213']
['294', '321', '333', '341', '35', '83']
['295', '300', '343', '10', '14', '22']
['296', '312', '30', '66', '117', '188']
['297', '347', '1', '48', '58', '137']
['302', '36', '146', '166', '220', '222']
['308', '322', '47', '105', '154', '288']
['309', '345', '33', '112', '181']
['314', '31', '128']
['319', '62', '99', '212', '254', '287']
['326', '327', '331', '53', '92', '96']
['328', '337', '4', '5', '46', '186']
['329', '37', '101', '176', '178', '189']
['332', '40', '41', '138']
['340', '3', '15', '39', '87', '120']
['7', '17', '54', '64', '127', '147']
['9', '114', '155', '253', '301']
['18', '73']
['20', '98', '104', '194', '239', '312']
['21', '91', '131', '153']
['25', '77', '109', '144', '215', '224']
['26', '61', '72', '111', '296']
['29', '38', '69', '134', '289']
['32', '151', '203', '264', '269', '275']
['34', '208', '210', '238', '247']
['42', '133', '174', '243', '256', '262']
['45', '81', '132', '192', '242', '255']
['49', '68', '148', '159', '234', '249']
['55', '97']
