25
16
['187', '161', '259', '199', '328', '47', '175', '46', '393', '282', '334', '126', '158', '35', '265', '269']
['174', '316', '259', '147', '328', '32', '25', '205', '393', '44', '282', '334', '349', '126', '356', '158']
['187', '146', '5', '199', '328', '32', '25', '208', '175', '314', '282', '349', '126', '143', '158', '383']
['235', '251', '161', '218', '259', '12', '286', '199', '328', '208', '305', '144', '192', '282', '396', '356']
['166', '174', '187', '316', '178', '218', '259', '5', '286', '199', '328', '32', '47', '393', '44', '396']
['316', '178', '12', '146', '147', '286', '199', '25', '314', '393', '172', '126', '143', '113', '122', '138']
['187', '178', '12', '190', '5', '328', '208', '144', '192', '46', '282', '334', '356', '143', '158', '113']
['15', '310', '174', '251', '178', '218', '259', '12', '190', '286', '328', '208', '109', '334', '349', '143']
['226', '161', '190', '5', '286', '25', '305', '175', '179', '172', '65', '220', '265', '383', '16', '72']
['212', '174', '161', '178', '218', '12', '146', '5', '199', '32', '205', '208', '47', '144', '175', '109']
['342', '251', '178', '12', '146', '5', '328', '305', '144', '393', '396', '172', '349', '126', '356', '35']
['251', '178', '218', '12', '286', '25', '47', '314', '282', '396', '126', '35', '77', '383', '16', '72']
['142', '187', '251', '161', '218', '147', '25', '47', '175', '44', '172', '122', '79', '263', '357', '96']
['100', '187', '161', '218', '12', '199', '328', '32', '305', '175', '314', '44', '282', '334', '65', '143']
['109', '174', '187', '251', '161', '12', '5', '286', '328', '25', '208', '305', '47', '46', '282', '172']
['167', '178', '218', '259', '146', '190', '199', '32', '25', '175', '192', '393', '172', '65', '126', '143']
['191', '241', '125', '27', '316', '161', '5', '208', '47', '192', '314', '282', '396', '172', '65', '349']
['60', '63', '187', '251', '316', '199', '32', '205', '208', '144', '314', '109', '393', '179', '396', '143']
['174', '161', '218', '146', '190', '328', '32', '144', '109', '393', '44', '282', '179', '172', '220', '122']
['259', '12', '5', '199', '328', '25', '305', '175', '192', '46', '109', '44', '282', '172', '349', '35']
['174', '161', '178', '218', '259', '12', '147', '5', '25', '47', '192', '109', '393', '282', '172', '65']
['19', '187', '251', '316', '161', '178', '218', '146', '190', '5', '286', '328', '32', '305', '175', '192']
['187', '251', '316', '161', '259', '5', '328', '32', '208', '144', '175', '192', '46', '314', '44', '282']
['200', '174', '187', '218', '12', '147', '199', '32', '25', '208', '47', '192', '314', '109', '44', '282']
['174', '161', '259', '12', '190', '5', '286', '199', '25', '205', '208', '305', '144', '175', '109', '393']
['251', '316', '218', '190', '32', '25', '208', '305', '47', '192', '314', '109', '282', '396', '172', '65']
['37', '174', '178', '32', '144', '314', '44', '179', '356', '158', '220', '77', '383', '16', '263', '260']
['3', '174', '187', '316', '161', '218', '259', '147', '5', '286', '32', '25', '205', '208', '305', '47']
['253', '251', '316', '12', '147', '32', '305', '47', '192', '109', '179', '172', '65', '265', '77', '383']
['174', '316', '218', '328', '25', '205', '208', '46', '393', '282', '334', '396', '126', '356', '158', '35']
['65', '187', '146', '147', '208', '47', '46', '314', '109', '44', '282', '334', '349', '158', '265', '16']
['251', '12', '5', '328', '205', '175', '46', '109', '282', '396', '65', '349', '126', '158', '35', '220']
['35', '187', '316', '161', '146', '190', '25', '305', '47', '144', '192', '109', '282', '334', '126', '356']
['316', '146', '5', '286', '199', '32', '25', '208', '305', '47', '314', '44', '179', '396', '172', '65']
['161', '259', '12', '146', '147', '190', '5', '286', '199', '205', '305', '393', '282', '334', '179', '349']
['187', '161', '178', '218', '147', '5', '286', '32', '25', '305', '175', '46', '109', '393', '172', '65']
['187', '251', '178', '146', '147', '328', '208', '144', '192', '46', '109', '393', '44', '172', '35', '77']
['187', '316', '161', '178', '190', '286', '199', '328', '25', '205', '208', '305', '47', '144', '46', '109']
['130', '161', '12', '146', '286', '199', '32', '25', '208', '305', '192', '46', '314', '393', '179', '172']
['334', '95', '251', '316', '259', '147', '199', '32', '205', '208', '175', '109', '393', '349', '126', '220']
['174', '251', '316', '178', '218', '147', '5', '32', '144', '396', '126', '356', '143', '158', '113', '269']
['383', '279', '218', '12', '199', '205', '47', '192', '44', '334', '396', '126', '143', '35', '72', '122']
['118', '316', '259', '146', '147', '190', '286', '328', '205', '305', '144', '175', '314', '109', '44', '396']
['174', '316', '218', '259', '12', '190', '286', '328', '205', '208', '305', '192', '109', '44', '282', '334']
['187', '316', '161', '12', '190', '5', '46', '109', '44', '334', '179', '172', '65', '349', '158', '265']
['303', '187', '251', '316', '178', '259', '12', '146', '190', '5', '286', '32', '25', '305', '175', '109']
['174', '316', '161', '178', '218', '208', '305', '175', '46', '314', '393', '44', '282', '179', '172', '126']
['174', '187', '251', '178', '286', '47', '109', '393', '44', '334', '179', '172', '126', '220', '265', '77']
['377', '187', '251', '190', '5', '328', '32', '205', '47', '144', '175', '46', '44', '334', '179', '126']
['20', '174', '187', '316', '12', '146', '147', '190', '5', '199', '328', '46', '314', '393', '179', '172']
['240', '103', '211', '174', '187', '316', '178', '12', '146', '190', '5', '199', '205', '208', '305', '47']
['174', '187', '218', '190', '5', '286', '32', '205', '208', '305', '144', '192', '393', '172', '65', '349']
['32', '174', '187', '251', '259', '12', '146', '286', '305', '175', '192', '46', '109', '44', '334', '179']
['272', '174', '316', '161', '32', '25', '205', '144', '192', '109', '44', '396', '172', '349', '143', '158']
['70', '174', '161', '178', '218', '5', '286', '328', '208', '175', '314', '109', '393', '282', '179', '396']
['178', '218', '259', '12', '190', '32', '47', '144', '192', '46', '44', '282', '179', '158', '77', '113']
['110', '390', '161', '259', '12', '146', '190', '5', '32', '305', '47', '144', '192', '46', '109', '282']
['140', '174', '161', '178', '12', '146', '190', '5', '286', '199', '32', '205', '208', '305', '126', '35']
['370', '187', '251', '316', '161', '218', '259', '146', '190', '5', '199', '328', '25', '205', '305', '47']
['178', '139', '259', '147', '199', '32', '205', '208', '305', '47', '144', '44', '334', '356', '143', '158']
['251', '259', '147', '5', '199', '32', '47', '109', '282', '334', '172', '126', '356', '158', '77', '113']
['187', '316', '161', '178', '218', '259', '146', '190', '5', '205', '192', '46', '393', '44', '282', '179']
['5', '251', '146', '147', '328', '208', '47', '175', '192', '46', '314', '109', '393', '396', '172', '349']
['347', '174', '187', '178', '328', '25', '47', '144', '192', '314', '393', '44', '396', '172', '220', '265']
['187', '161', '218', '259', '146', '190', '205', '208', '175', '192', '44', '334', '65', '356', '383', '72']
['174', '251', '161', '218', '146', '190', '5', '286', '328', '208', '305', '47', '192', '44', '349', '126']
['187', '251', '161', '259', '12', '199', '328', '32', '25', '282', '179', '126', '143', '158', '77', '113']
['316', '161', '259', '5', '286', '208', '175', '192', '46', '314', '109', '44', '282', '179', '396', '172']
['259', '251', '161', '146', '147', '5', '199', '328', '32', '25', '175', '314', '179', '396', '349', '126']
['187', '174', '178', '5', '328', '32', '25', '175', '192', '109', '393', '44', '126', '143', '158', '265']
['174', '187', '251', '178', '199', '328', '25', '208', '192', '46', '314', '109', '44', '282', '334', '172']
['174', '251', '316', '161', '12', '146', '147', '32', '208', '305', '175', '192', '46', '109', '393', '282']
['316', '218', '12', '328', '25', '205', '144', '175', '192', '109', '282', '396', '172', '65', '349', '356']
['4', '251', '316', '161', '178', '218', '12', '5', '199', '305', '47', '144', '175', '46', '109', '393']
['34', '161', '178', '259', '190', '5', '286', '199', '328', '205', '208', '144', '46', '109', '282', '179']
['174', '251', '178', '218', '259', '12', '190', '199', '32', '47', '175', '192', '46', '172', '143', '220']
['309', '12', '146', '147', '190', '25', '208', '305', '47', '192', '109', '172', '65', '126', '158', '35']
['14', '174', '316', '161', '178', '146', '190', '199', '32', '208', '305', '47', '396', '65', '349', '126']
['174', '251', '259', '190', '199', '32', '205', '208', '305', '44', '65', '349', '126', '265', '77', '113']
['308', '251', '316', '218', '147', '205', '305', '175', '192', '314', '172', '265', '77', '72', '92', '138']
['251', '161', '218', '208', '175', '192', '314', '393', '44', '179', '65', '356', '143', '220', '383', '16']
['187', '161', '178', '146', '147', '5', '286', '199', '32', '25', '205', '208', '305', '109', '393', '44']
['316', '218', '12', '190', '328', '25', '305', '47', '192', '46', '393', '334', '396', '265', '77', '113']
['174', '316', '161', '218', '259', '147', '190', '5', '286', '199', '328', '32', '47', '175', '192', '314']
['174', '161', '147', '199', '205', '47', '144', '314', '109', '334', '179', '396', '172', '126', '356', '143']
['174', '251', '178', '218', '259', '286', '199', '328', '32', '47', '144', '192', '314', '109', '393', '143']
['155', '316', '161', '218', '199', '328', '46', '65', '158', '220', '83', '357', '318', '95', '229', '307']
['187', '178', '146', '147', '190', '286', '205', '47', '109', '282', '179', '172', '65', '349', '35', '113']
['245', '174', '187', '316', '178', '218', '12', '147', '5', '328', '25', '205', '208', '305', '46', '396']
['161', '5', '199', '32', '25', '47', '314', '282', '179', '65', '126', '143', '158', '35', '265', '113']
['316', '218', '259', '146', '5', '286', '32', '205', '208', '109', '393', '44', '334', '179', '126', '356']
['169', '187', '251', '316', '178', '218', '259', '147', '190', '199', '205', '305', '47', '144', '175', '314']
['187', '161', '259', '146', '147', '190', '286', '25', '205', '208', '47', '144', '192', '46', '393', '44']
['174', '187', '178', '218', '259', '146', '199', '328', '25', '305', '46', '44', '396', '65', '356', '113']
['161', '178', '218', '12', '146', '286', '199', '328', '25', '305', '192', '109', '44', '179', '172', '126']
['174', '187', '316', '218', '12', '190', '286', '32', '205', '47', '175', '314', '393', '282', '65', '349']
['174', '251', '316', '161', '190', '5', '286', '328', '32', '175', '46', '393', '44', '179', '65', '349']
['189', '239', '174', '316', '161', '12', '199', '32', '205', '144', '175', '314', '393', '44', '396', '172']
['26', '242', '178', '259', '146', '286', '32', '205', '47', '144', '44', '179', '396', '172', '356', '158']
['161', '218', '146', '5', '286', '305', '144', '175', '46', '314', '109', '334', '396', '143', '265', '113']
['98', '225', '316', '161', '218', '259', '146', '286', '305', '47', '144', '46', '109', '393', '44', '158']
['174', '187', '178', '218', '259', '190', '5', '32', '25', '205', '305', '47', '144', '175', '46', '44']
['187', '251', '316', '12', '147', '5', '199', '328', '47', '314', '109', '179', '396', '172', '349', '35']
['161', '178', '12', '147', '5', '286', '25', '208', '47', '175', '46', '314', '109', '282', '179', '396']
['251', '316', '178', '147', '328', '32', '144', '175', '46', '396', '126', '356', '158', '220', '265', '383']
['120', '187', '251', '218', '259', '12', '146', '147', '199', '328', '32', '208', '305', '47', '144', '192']
['163', '251', '161', '147', '190', '5', '286', '199', '32', '25', '205', '208', '47', '192', '46', '314']
['174', '251', '218', '12', '286', '25', '208', '144', '192', '109', '334', '396', '158', '265', '72', '92']
['54', '187', '316', '178', '218', '190', '199', '328', '32', '25', '192', '44', '282', '349', '356', '265']
['174', '161', '178', '218', '12', '147', '5', '199', '328', '25', '205', '192', '46', '282', '179', '396']
['316', '161', '178', '12', '147', '32', '25', '205', '208', '305', '175', '192', '109', '179', '65', '143']
['316', '161', '218', '12', '146', '286', '199', '328', '25', '208', '47', '314', '109', '393', '334', '179']
['68', '174', '251', '316', '259', '5', '199', '25', '305', '175', '393', '334', '396', '349', '143', '158']
['174', '251', '316', '161', '259', '147', '286', '32', '25', '144', '46', '314', '393', '349', '126', '356']
['156', '251', '316', '259', '147', '32', '205', '44', '282', '334', '65', '126', '356', '220', '77', '72']
['251', '316', '218', '259', '12', '5', '205', '208', '47', '175', '46', '314', '393', '44', '65', '126']
['231', '161', '218', '259', '146', '199', '25', '205', '208', '144', '192', '314', '109', '393', '44', '396']
['187', '316', '178', '218', '146', '190', '286', '199', '328', '205', '208', '305', '192', '314', '109', '393']
['204', '174', '316', '259', '12', '147', '190', '328', '25', '208', '47', '144', '192', '46', '143', '35']
['105', '251', '316', '178', '12', '146', '190', '286', '199', '32', '305', '46', '314', '44', '334', '179']
['220', '187', '251', '218', '190', '205', '208', '47', '192', '314', '393', '44', '396', '65', '349', '126']
['174', '187', '251', '316', '146', '147', '5', '286', '32', '25', '205', '305', '192', '46', '109', '282']
['168', '187', '178', '12', '147', '328', '205', '208', '47', '393', '282', '334', '179', '396', '126', '356']
['354', '187', '161', '178', '218', '259', '190', '5', '286', '328', '205', '305', '109', '393', '334', '179']
['316', '218', '12', '146', '190', '5', '286', '199', '25', '208', '44', '282', '349', '143', '158', '113']
['174', '161', '178', '218', '190', '5', '32', '205', '208', '47', '175', '192', '44', '172', '126', '265']
['187', '251', '12', '146', '286', '25', '205', '144', '192', '314', '393', '44', '396', '65', '349', '126']
['251', '316', '161', '218', '259', '12', '190', '5', '32', '205', '208', '46', '314', '109', '44', '282']
['174', '187', '5', '286', '328', '32', '25', '208', '305', '47', '175', '46', '282', '179', '396', '220']
['261', '228', '218', '259', '286', '199', '32', '305', '144', '192', '314', '44', '282', '65', '126', '356']
['297', '185', '174', '187', '12', '190', '5', '199', '32', '208', '47', '175', '192', '109', '44', '396']
['356', '24', '316', '178', '259', '32', '47', '175', '192', '46', '314', '393', '65', '349', '126', '158']
['218', '174', '124', '388', '161', '178', '146', '147', '5', '286', '328', '32', '305', '47', '175', '314']
['278', '298', '187', '316', '161', '178', '259', '12', '190', '5', '199', '328', '205', '192', '46', '44']
['252', '187', '251', '218', '259', '12', '5', '286', '175', '314', '396', '349', '265', '113', '383', '16']
['174', '187', '251', '178', '12', '5', '199', '25', '205', '305', '47', '192', '314', '282', '334', '143']
['316', '178', '190', '328', '25', '208', '46', '334', '396', '172', '65', '349', '126', '356', '143', '158']
['251', '218', '259', '12', '146', '190', '199', '25', '205', '208', '305', '144', '192', '179', '126', '143']
['286', '328', '32', '305', '175', '282', '334', '172', '349', '356', '143', '220', '265', '77', '383', '122']
['174', '316', '161', '178', '328', '32', '25', '47', '144', '192', '314', '109', '393', '282', '334', '65']
['196', '43', '174', '316', '161', '12', '286', '328', '32', '25', '205', '175', '192', '282', '179', '172']
['251', '161', '259', '147', '5', '328', '47', '144', '109', '44', '282', '179', '65', '126', '35', '265']
['45', '251', '218', '146', '286', '328', '25', '144', '175', '46', '109', '282', '179', '172', '349', '143']
['174', '187', '251', '218', '259', '146', '147', '199', '32', '25', '208', '144', '175', '192', '393', '44']
['75', '174', '187', '251', '161', '12', '146', '286', '328', '32', '208', '144', '192', '314', '393', '334']
['187', '161', '178', '12', '190', '328', '25', '208', '305', '192', '314', '334', '179', '126', '158', '35']
['251', '161', '259', '146', '147', '286', '328', '32', '47', '144', '175', '192', '314', '396', '126', '356']
['174', '187', '251', '316', '161', '218', '259', '190', '25', '205', '208', '305', '175', '192', '314', '109']
['250', '174', '316', '178', '146', '147', '199', '328', '205', '144', '175', '46', '109', '44', '396', '65']
['399', '12', '5', '286', '25', '205', '305', '47', '144', '44', '282', '179', '356', '77', '383', '357']
['106', '174', '187', '316', '161', '178', '147', '328', '32', '208', '109', '282', '396', '172', '65', '356']
['161', '178', '218', '146', '190', '205', '208', '175', '109', '393', '44', '334', '396', '172', '126', '356']
['174', '178', '218', '286', '25', '205', '208', '305', '314', '109', '334', '396', '172', '158', '35', '265']
['174', '178', '32', '205', '47', '144', '175', '192', '334', '349', '143', '158', '35', '113', '72', '269']
['58', '251', '316', '259', '12', '199', '25', '47', '175', '314', '109', '44', '179', '396', '172', '126']
['380', '174', '187', '316', '161', '178', '259', '12', '5', '205', '208', '305', '175', '46', '393', '44']
['369', '161', '259', '12', '190', '5', '328', '47', '314', '44', '126', '35', '220', '77', '113', '92']
['251', '316', '218', '259', '147', '5', '328', '32', '205', '47', '314', '334', '396', '172', '126', '35']
['174', '251', '316', '12', '199', '328', '32', '25', '393', '282', '396', '126', '143', '265', '77', '113']
['283', '230', '178', '146', '190', '5', '286', '199', '328', '25', '47', '144', '109', '44', '349', '143']
['119', '174', '316', '259', '12', '147', '190', '286', '199', '32', '205', '144', '46', '179', '172', '65']
['330', '178', '146', '199', '32', '25', '144', '175', '192', '109', '334', '396', '65', '349', '356', '158']
['88', '187', '12', '147', '190', '5', '286', '199', '328', '25', '144', '175', '46', '393', '282', '396']
['251', '316', '147', '190', '199', '328', '208', '305', '144', '109', '393', '44', '282', '396', '65', '126']
['187', '12', '146', '147', '190', '5', '286', '199', '25', '205', '144', '282', '179', '65', '349', '356']
['12', '146', '190', '286', '328', '25', '192', '46', '334', '179', '65', '349', '356', '220', '265', '269']
['178', '12', '146', '147', '32', '47', '175', '109', '282', '334', '179', '349', '126', '143', '158', '35']
['25', '187', '161', '178', '218', '259', '147', '190', '286', '328', '205', '208', '47', '46', '393', '172']
['358', '12', '147', '5', '32', '25', '205', '305', '47', '109', '334', '179', '396', '143', '220', '113']
['294', '345', '251', '316', '259', '147', '199', '32', '205', '208', '305', '175', '46', '109', '179', '172']
['178', '147', '5', '199', '328', '32', '205', '305', '175', '192', '314', '109', '282', '334', '179', '172']
['238', '316', '178', '147', '190', '5', '286', '199', '32', '205', '208', '46', '314', '109', '393', '44']
['331', '187', '316', '161', '12', '146', '147', '286', '199', '32', '305', '47', '314', '393', '44', '282']
['400', '92', '161', '218', '259', '146', '190', '286', '199', '32', '25', '205', '305', '47', '109', '44']
['187', '259', '146', '190', '286', '25', '205', '175', '192', '314', '334', '179', '396', '172', '65', '126']
['122', '187', '316', '178', '259', '286', '199', '25', '47', '175', '46', '314', '109', '44', '282', '334']
['187', '316', '161', '12', '146', '190', '5', '199', '32', '25', '205', '208', '144', '175', '46', '314']
['316', '161', '218', '146', '147', '190', '5', '286', '328', '208', '305', '144', '44', '282', '396', '65']
['80', '44', '174', '187', '161', '218', '146', '147', '190', '199', '25', '305', '47', '144', '192', '314']
['251', '178', '146', '199', '32', '205', '208', '305', '192', '314', '393', '44', '396', '65', '349', '143']
['174', '251', '218', '146', '190', '286', '25', '192', '46', '314', '44', '334', '396', '349', '356', '158']
['101', '306', '187', '251', '178', '259', '146', '147', '5', '286', '328', '208', '305', '109', '282', '179']
['161', '178', '218', '146', '190', '286', '32', '205', '144', '175', '314', '179', '265', '16', '269', '138']
['316', '161', '178', '12', '286', '328', '32', '208', '47', '175', '109', '44', '334', '143', '158', '220']
['29', '251', '316', '161', '178', '218', '146', '147', '5', '286', '199', '25', '175', '192', '393', '172']
['280', '174', '161', '178', '218', '259', '146', '5', '205', '208', '144', '46', '314', '109', '282', '334']
['174', '251', '161', '218', '259', '146', '190', '199', '205', '208', '47', '144', '175', '109', '334', '172']
['174', '187', '251', '12', '190', '286', '199', '328', '32', '205', '208', '305', '47', '144', '109', '282']
['269', '66', '161', '178', '259', '146', '147', '286', '199', '32', '25', '205', '305', '144', '175', '192']
['187', '251', '316', '218', '146', '147', '199', '208', '47', '46', '396', '65', '349', '158', '35', '77']
['198', '174', '187', '251', '218', '12', '146', '5', '286', '199', '205', '47', '393', '179', '396', '65']
['174', '251', '178', '146', '190', '199', '32', '205', '208', '305', '144', '175', '393', '334', '179', '396']
['28', '251', '178', '259', '12', '146', '147', '190', '25', '305', '47', '192', '46', '44', '179', '172']
['174', '316', '161', '259', '190', '286', '25', '208', '305', '47', '144', '46', '314', '393', '44', '349']
['192', '251', '316', '161', '178', '147', '190', '205', '305', '47', '144', '65', '35', '318', '95', '266']
['174', '161', '146', '147', '286', '199', '25', '305', '144', '192', '396', '126', '356', '35', '265', '77']
['174', '251', '316', '178', '218', '146', '147', '328', '205', '208', '175', '109', '44', '65', '349', '126']
['187', '286', '199', '25', '305', '47', '144', '393', '334', '179', '396', '172', '65', '349', '143', '158']
['187', '251', '316', '161', '259', '12', '147', '205', '208', '305', '47', '314', '393', '334', '396', '172']
['174', '187', '316', '161', '178', '218', '259', '146', '5', '286', '208', '109', '396', '65', '349', '126']
['49', '136', '174', '187', '251', '218', '12', '146', '5', '205', '208', '47', '192', '46', '334', '172']
['218', '147', '190', '199', '328', '32', '205', '208', '305', '192', '334', '172', '349', '220', '113', '72']
['187', '316', '161', '259', '12', '199', '328', '393', '334', '172', '65', '126', '356', '383', '92', '122']
['237', '301', '218', '259', '146', '286', '109', '282', '334', '179', '396', '172', '126', '356', '35', '220']
['259', '146', '5', '199', '32', '205', '144', '314', '393', '282', '334', '349', '143', '220', '265', '77']
['316', '161', '218', '12', '146', '147', '190', '5', '205', '305', '47', '175', '282', '179', '396', '65']
['161', '316', '178', '218', '146', '147', '328', '25', '208', '192', '46', '109', '282', '35', '265', '77']
['203', '247', '187', '178', '218', '12', '190', '5', '286', '205', '47', '144', '46', '314', '109', '393']
['174', '251', '146', '190', '5', '328', '205', '208', '305', '144', '192', '109', '44', '334', '179', '396']
['174', '316', '218', '259', '147', '286', '328', '32', '25', '205', '144', '46', '314', '44', '396', '172']
['178', '218', '146', '5', '25', '208', '305', '47', '144', '109', '393', '282', '65', '126', '35', '269']
['143', '161', '178', '218', '146', '147', '199', '328', '32', '25', '208', '305', '192', '46', '314', '393']
['161', '178', '218', '259', '190', '205', '208', '305', '144', '192', '46', '393', '44', '334', '179', '172']
['174', '316', '161', '147', '5', '199', '32', '205', '192', '314', '109', '393', '126', '158', '220', '383']
['251', '161', '259', '32', '25', '47', '175', '192', '314', '282', '172', '35', '113', '16', '72', '269']
['187', '178', '218', '147', '190', '199', '328', '47', '144', '46', '282', '172', '349', '158', '35', '220']
['39', '174', '251', '161', '12', '147', '5', '32', '25', '208', '305', '47', '144', '192', '314', '44']
['174', '316', '161', '12', '25', '208', '47', '144', '46', '393', '44', '334', '179', '35', '265', '383']
['161', '178', '218', '259', '146', '5', '25', '205', '208', '144', '44', '334', '172', '356', '143', '158']
['153', '174', '187', '316', '178', '259', '12', '146', '190', '208', '46', '109', '44', '282', '334', '65']
['174', '251', '161', '178', '147', '199', '328', '25', '208', '47', '46', '314', '334', '126', '143', '220']
['259', '286', '199', '328', '144', '192', '314', '109', '393', '282', '179', '349', '158', '265', '77', '113']
['316', '161', '12', '146', '5', '199', '328', '205', '305', '47', '109', '126', '220', '265', '77', '16']
['174', '316', '161', '12', '286', '199', '25', '205', '208', '305', '144', '192', '179', '396', '126', '220']
['174', '251', '316', '161', '178', '259', '12', '146', '25', '205', '175', '192', '46', '109', '393', '44']
['349', '187', '259', '12', '5', '286', '25', '205', '305', '144', '175', '314', '109', '334', '356', '158']
['397', '174', '251', '316', '161', '178', '218', '259', '12', '146', '147', '5', '199', '328', '208', '305']
['78', '161', '12', '147', '190', '199', '328', '25', '305', '144', '192', '46', '314', '109', '44', '282']
['251', '316', '178', '259', '190', '328', '32', '205', '208', '47', '175', '46', '393', '282', '334', '143']
['251', '161', '178', '259', '146', '147', '5', '286', '199', '205', '305', '144', '192', '46', '109', '334']
['94', '316', '178', '12', '147', '5', '205', '144', '175', '46', '109', '334', '126', '356', '143', '113']
['174', '187', '316', '12', '286', '25', '205', '208', '47', '46', '314', '109', '282', '334', '172', '349']
['366', '174', '187', '316', '161', '178', '218', '146', '147', '5', '208', '46', '314', '109', '282', '172']
['141', '251', '316', '161', '146', '147', '5', '199', '328', '32', '46', '109', '393', '334', '396', '172']
['218', '146', '147', '5', '286', '199', '205', '175', '109', '179', '172', '126', '143', '113', '79', '263']
['254', '187', '161', '218', '5', '286', '109', '393', '44', '35', '113', '263', '318', '95', '229', '151']
['96', '161', '218', '146', '190', '286', '205', '208', '144', '109', '126', '143', '35', '220', '77', '113']
['244', '174', '187', '161', '178', '12', '146', '190', '199', '25', '205', '208', '305', '47', '175', '192']
['187', '316', '161', '12', '146', '190', '5', '286', '328', '175', '46', '393', '44', '179', '396', '172']
['146', '251', '316', '161', '218', '259', '147', '286', '199', '328', '25', '144', '46', '314', '109', '282']
