['DukeJellyTheGreatMonsterFinder', 'DukeFluffyTheMightyZombieHunter', 'SirShadowTheMightyRobotSniffer', 'MadameShadowTheGreatDragonEater', 'DuchessBarneyTheMightyVampireSniffer', 'QueenTrinityTheHeroicDragonFinder', 'DuchessShadowTheBraveDragonSniffer', 'MasterSushiTheMightyMonsterEater', 'MasterBeetleTheHeroicRobotMaker', 'DukeShadowTheGreatDragonEater', 'MasterShadowTheTrueDragonSniffer', 'DukeJellyTheHeroicRobotSniffer', 'MadameJellyTheTrueVampireHunter', 'QueenShadowTheTrueMonsterFinder', 'DuchessTrinityTheGreatMonsterFinder', 'SirFluffyTheBraveMonsterSniffer', 'DuchessFluffyTheBraveVampireSniffer', 'MasterBarneyTheBraveVampireFinder', 'DukeFluffyTheTrueVampireMaker']
['QueenBeetleTheMightyRobotMaker', 'MasterFluffyTheGreatDragonEater', 'QueenTrinityTheBraveRobotSniffer', 'DukeTrinityTheGreatDragonHunter', 'MadameFluffyTheTrueVampireFinder', 'MadameTrinityTheHeroicMonsterEater', 'LordBeetleTheHeroicZombieFinder', 'MasterFluffyTheMightyRobotEater', 'MadameBeetleTheTrueVampireEater', 'DukeBarneyTheHeroicZombieEater', 'DukeShadowTheMightyVampireEater', 'DuchessJellyTheMightyDragonMaker', 'DukeBeetleTheTrueZombieFinder', 'QueenFluffyTheBraveDragonFinder', 'MadameShadowTheHeroicMonsterEater', 'QueenSushiTheTrueVampireEater', 'DuchessJellyTheHeroicMonsterHunter', 'MasterSushiTheTrueMonsterEater', 'DukeBeetleTheHeroicMonsterFinder', 'LordTrinityTheGreatMonsterEater']
['LordSushiTheBraveVampireEater', 'LordJellyTheMightyRobotEater', 'SirJellyTheHeroicVampireEater', 'DuchessShadowTheHeroicZombieFinder', 'SirBeetleTheHeroicDragonHunter', 'QueenFluffyTheMightyVampireEater', 'DuchessSushiTheGreatVampireFinder', 'DukeJellyTheTrueRobotFinder', 'DuchessTrinityTheTrueMonsterHunter', 'LordBarneyTheMightyDragonEater', 'MasterBeetleTheGreatRobotSniffer', 'DuchessBeetleTheBraveDragonEater', 'SirBarneyTheTrueZombieEater', 'SirShadowTheBraveRobotHunter', 'MasterBarneyTheHeroicVampireMaker', 'MadameSushiTheTrueRobotEater', 'MasterJellyTheHeroicMonsterHunter', 'DuchessBeetleTheGreatMonsterEater', 'MasterBarneyTheTrueVampireEater', 'QueenBarneyTheTrueRobotFinder']
['LordFluffyTheGreatMonsterFinder', 'QueenShadowTheBraveRobotEater', 'MasterTrinityTheMightyRobotSniffer', 'QueenBarneyTheHeroicZombieHunter', 'QueenJellyTheMightyMonsterMaker', 'MasterSushiTheMightyVampireHunter', 'SirShadowTheGreatDragonHunter', 'MasterJellyTheMightyRobotEater', 'MadameTrinityTheBraveZombieSniffer', 'QueenTrinityTheGreatDragonHunter', 'QueenBarneyTheGreatVampireEater', 'SirShadowTheGreatRobotMaker', 'QueenTrinityTheHeroicVampireMaker', 'QueenJellyTheHeroicZombieEater', 'DukeShadowTheTrueMonsterEater', 'DukeSushiTheGreatZombieFinder', 'LordFluffyTheGreatDragonHunter', 'MasterFluffyTheTrueDragonFinder', 'DukeShadowTheBraveRobotEater', 'QueenBeetleTheTrueRobotEater']
['SirBeetleTheTrueMonsterMaker', 'SirTrinityTheHeroicVampireFinder', 'DukeBarneyTheHeroicRobotHunter', 'DuchessBeetleTheMightyMonsterEater', 'SirBeetleTheGreatZombieEater', 'QueenBarneyTheBraveVampireHunter', 'QueenJellyTheHeroicZombieSniffer', 'MadameShadowTheBraveZombieHunter', 'QueenBarneyTheMightyZombieHunter', 'DukeSushiTheTrueVampireMaker', 'MadameSushiTheMightyRobotMaker', 'QueenTrinityTheMightyVampireMaker', 'MasterTrinityTheMightyVampireMaker', 'MasterSushiTheHeroicRobotHunter', 'QueenTrinityTheGreatVampireEater', 'MasterJellyTheGreatZombieHunter', 'MadameTrinityTheGreatDragonSniffer', 'SirShadowTheGreatRobotSniffer', 'DuchessBarneyTheMightyVampireHunter', 'MadameJellyTheGreatZombieMaker']
['SirBarneyTheBraveVampireMaker', 'QueenBeetleTheBraveMonsterMaker', 'MasterJellyTheTrueDragonMaker', 'DukeJellyTheMightyDragonFinder', 'SirFluffyTheBraveMonsterMaker', 'LordFluffyTheBraveZombieFinder', 'MasterTrinityTheHeroicDragonHunter', 'DukeShadowTheHeroicVampireHunter', 'SirBeetleTheGreatZombieFinder', 'MasterJellyTheMightyMonsterHunter', 'DukeBeetleTheGreatDragonHunter', 'SirShadowTheTrueVampireFinder', 'DukeShadowTheGreatMonsterEater', 'SirFluffyTheTrueRobotEater', 'MasterSushiTheTrueZombieFinder', 'SirFluffyTheBraveRobotHunter', 'LordBeetleTheGreatRobotSniffer', 'QueenJellyTheTrueMonsterMaker', 'MasterSushiTheBraveDragonFinder', 'MadameFluffyTheHeroicDragonMaker']
['QueenBeetleTheGreatMonsterEater', 'LordFluffyTheGreatMonsterHunter', 'SirBeetleTheMightyVampireFinder', 'SirFluffyTheTrueZombieHunter', 'MasterSushiTheBraveRobotEater', 'MasterTrinityTheHeroicMonsterSniffer', 'SirBarneyTheGreatRobotEater', 'DuchessBarneyTheBraveMonsterMaker', 'LordShadowTheBraveZombieSniffer', 'QueenSushiTheMightyVampireEater', 'QueenTrinityTheBraveVampireEater', 'QueenBarneyTheMightyMonsterEater', 'DukeJellyTheGreatMonsterSniffer', 'DukeJellyTheBraveZombieEater', 'DuchessBarneyTheBraveZombieHunter', 'MadameJellyTheBraveVampireEater', 'MadameFluffyTheHeroicVampireMaker', 'MasterTrinityTheGreatMonsterSniffer', 'MadameShadowTheGreatZombieMaker', 'QueenJellyTheHeroicRobotHunter']
['SirBarneyTheTrueDragonMaker', 'DuchessBarneyTheMightyVampireFinder', 'LordSushiTheGreatRobotHunter', 'SirBeetleTheBraveZombieMaker', 'SirShadowTheMightyDragonMaker', 'SirSushiTheTrueDragonMaker', 'SirSushiTheTrueRobotFinder', 'SirJellyTheGreatDragonFinder', 'MasterSushiTheMightyZombieHunter', 'QueenBeetleTheGreatDragonSniffer', 'LordBarneyTheBraveVampireHunter', 'QueenTrinityTheHeroicDragonHunter', 'QueenBeetleTheBraveVampireMaker', 'MadameSushiTheBraveRobotSniffer', 'MasterBarneyTheTrueMonsterMaker', 'MasterSushiTheHeroicZombieHunter', 'MasterBeetleTheMightyDragonMaker', 'DuchessJellyTheHeroicVampireHunter', 'DuchessBeetleTheTrueZombieHunter', 'DuchessSushiTheGreatRobotSniffer']
['QueenJellyTheGreatRobotMaker', 'MadameTrinityTheBraveMonsterSniffer', 'QueenFluffyTheBraveRobotFinder', 'MasterBeetleTheMightyVampireSniffer', 'QueenFluffyTheBraveVampireHunter', 'DuchessBarneyTheTrueDragonHunter', 'SirTrinityTheTrueDragonEater', 'LordJellyTheBraveZombieEater', 'QueenJellyTheMightyZombieFinder', 'MadameFluffyTheBraveRobotFinder', 'MadameJellyTheGreatVampireFinder', 'DuchessBeetleTheTrueZombieSniffer', 'DuchessBarneyTheBraveMonsterHunter', 'SirShadowTheMightyMonsterSniffer', 'MadameShadowTheGreatVampireFinder', 'LordFluffyTheHeroicMonsterHunter', 'QueenTrinityTheHeroicRobotSniffer', 'LordBeetleTheHeroicMonsterMaker', 'MadameBarneyTheMightyRobotHunter', 'MadameBarneyTheTrueMonsterFinder']
['MadameSushiTheHeroicDragonEater', 'MadameJellyTheTrueRobotEater', 'DukeBarneyTheTrueVampireEater', 'MadameJellyTheHeroicDragonEater', 'QueenShadowTheMightyMonsterMaker', 'QueenShadowTheTrueVampireSniffer', 'DukeBeetleTheHeroicZombieMaker', 'MasterBeetleTheTrueVampireMaker', 'SirShadowTheBraveMonsterMaker', 'SirShadowTheHeroicVampireEater', 'LordBeetleTheHeroicMonsterSniffer', 'MadameJellyTheBraveDragonEater', 'DuchessShadowTheMightyMonsterSniffer', 'MadameBarneyTheBraveVampireSniffer', 'MadameJellyTheTrueZombieHunter', 'DuchessShadowTheTrueZombieSniffer', 'QueenShadowTheBraveRobotFinder', 'LordSushiTheTrueMonsterEater', 'MasterJellyTheHeroicZombieEater', 'MasterShadowTheMightyMonsterFinder']
['DuchessShadowTheBraveZombieHunter', 'LordTrinityTheBraveVampireMaker', 'DuchessSushiTheBraveMonsterHunter', 'QueenTrinityTheBraveZombieHunter', 'DuchessJellyTheHeroicMonsterMaker', 'LordJellyTheBraveVampireHunter', 'QueenBeetleTheBraveVampireFinder', 'MasterBeetleTheGreatDragonSniffer', 'DukeShadowTheMightyMonsterMaker', 'SirFluffyTheTrueMonsterFinder', 'MasterJellyTheMightyZombieEater', 'LordTrinityTheHeroicVampireEater', 'DuchessSushiTheHeroicDragonFinder', 'QueenTrinityTheBraveRobotFinder', 'DukeBeetleTheMightyRobotHunter', 'MasterTrinityTheBraveMonsterMaker', 'DuchessFluffyTheBraveDragonHunter', 'MasterShadowTheGreatRobotSniffer', 'QueenShadowTheBraveVampireMaker', 'MadameBarneyTheGreatMonsterSniffer']
['MadameShadowTheGreatZombieSniffer', 'MasterFluffyTheTrueMonsterFinder', 'MadameSushiTheGreatVampireSniffer', 'LordFluffyTheMightyVampireSniffer', 'DukeSushiTheTrueDragonFinder', 'SirBeetleTheHeroicMonsterEater', 'DukeJellyTheHeroicDragonHunter', 'MasterFluffyTheMightyZombieHunter', 'DukeSushiTheTrueMonsterEater', 'SirShadowTheMightyDragonHunter', 'MadameBeetleTheTrueMonsterSniffer', 'MadameSushiTheMightyVampireHunter', 'LordShadowTheHeroicDragonHunter', 'MasterBarneyTheHeroicZombieMaker', 'MadameSushiTheBraveVampireSniffer', 'DuchessTrinityTheGreatZombieFinder', 'QueenJellyTheGreatMonsterFinder', 'MasterTrinityTheHeroicZombieMaker', 'QueenBeetleTheGreatMonsterFinder', 'MadameFluffyTheTrueZombieFinder']
['SirJellyTheTrueVampireSniffer', 'DuchessJellyTheTrueDragonHunter', 'LordJellyTheTrueDragonEater', 'MasterTrinityTheHeroicDragonMaker', 'SirSushiTheBraveDragonMaker', 'LordBeetleTheMightyZombieFinder', 'MasterBarneyTheGreatRobotEater', 'DukeJellyTheHeroicRobotHunter', 'MasterShadowTheBraveDragonFinder', 'LordSushiTheBraveZombieSniffer', 'LordSushiTheHeroicRobotMaker', 'MadameJellyTheHeroicZombieEater', 'MadameShadowTheGreatRobotHunter', 'QueenTrinityTheMightyZombieHunter', 'DuchessSushiTheGreatVampireEater', 'LordFluffyTheMightyDragonSniffer', 'LordFluffyTheMightyVampireMaker', 'LordBarneyTheHeroicVampireHunter', 'LordTrinityTheMightyDragonEater', 'DuchessBeetleTheTrueZombieFinder']
['LordJellyTheBraveDragonEater', 'MadameTrinityTheHeroicZombieFinder', 'MadameBeetleTheTrueZombieMaker', 'QueenSushiTheTrueZombieEater', 'QueenJellyTheGreatZombieMaker', 'MasterShadowTheMightyZombieEater', 'MasterSushiTheHeroicRobotSniffer', 'LordBarneyTheBraveDragonSniffer', 'MadameBarneyTheGreatRobotEater', 'DukeBeetleTheTrueMonsterEater', 'LordBeetleTheMightyMonsterMaker', 'DukeShadowTheBraveRobotFinder', 'MasterTrinityTheMightyMonsterMaker', 'MasterBeetleTheMightyVampireMaker', 'MasterFluffyTheBraveVampireFinder', 'DuchessBarneyTheBraveMonsterEater', 'DukeBarneyTheMightyRobotSniffer', 'MasterTrinityTheMightyVampireEater', 'SirTrinityTheMightyVampireEater', 'MadameShadowTheMightyVampireEater']
['DuchessBeetleTheTrueDragonFinder', 'MasterShadowTheBraveRobotEater', 'DuchessBarneyTheGreatDragonHunter', 'DuchessTrinityTheTrueZombieEater', 'MasterShadowTheHeroicMonsterSniffer', 'SirTrinityTheGreatDragonFinder', 'DukeTrinityTheHeroicRobotMaker', 'MasterShadowTheTrueZombieEater', 'QueenBarneyTheGreatVampireSniffer', 'QueenTrinityTheBraveVampireSniffer', 'QueenBeetleTheGreatDragonMaker', 'QueenBarneyTheGreatRobotFinder', 'LordFluffyTheBraveVampireHunter', 'QueenBarneyTheMightyZombieMaker', 'DuchessBeetleTheMightyMonsterFinder', 'MadameShadowTheMightyDragonEater', 'QueenTrinityTheBraveMonsterHunter', 'QueenBarneyTheMightyRobotFinder', 'DuchessTrinityTheTrueDragonEater', 'MasterBarneyTheHeroicDragonEater']
