['g13c4', 'g13c41', 'g13c42', 'g22c22', 'g16c4']
['g4c2', 'g4c21', 'g4c22', 'g4c31', 'g4c32']
['g4c02', 'g4c3', 'g4c4', 'g4c41', 'g4c42']
['g4c0', 'g4c01', 'g4c1', 'g4c11', 'g4c12']
['g4k0', 'g4k1', 'g4k2', 'g4k3', 'g4k4']
['g0c2', 'g0c3', 'g0c31', 'g0c32', 'g0c42']
['g0k0', 'g0k1', 'g0k2', 'g0k3', 'g0k4']
['g0c1', 'g0c11', 'g0c12', 'g0c21', 'g0c22']
['g0c0', 'g0c01', 'g0c02', 'g0c4', 'g0c41']
['g18c02', 'g18c3', 'g18c4', 'g18c41', 'g18c42']
['g18c2', 'g18c21', 'g18c22', 'g18c31', 'g18c32']
['g17c0', 'g17c01', 'g17c1', 'g17c11', 'g17c12']
['g18k0', 'g18k1', 'g18k2', 'g18k3', 'g18k4']
['g18c0', 'g18c01', 'g18c1', 'g18c11', 'g18c12']
['g5k0', 'g5k1', 'g5k2', 'g5k3', 'g5k4']
['g5c0', 'g5c01', 'g5c02', 'g5c11', 'g5c12']
['g5c3', 'g5c31', 'g5c4', 'g5c41', 'g5c42']
['g5c1', 'g5c2', 'g5c21', 'g5c22', 'g5c32']
['g7k4', 'g7c3', 'g7c4', 'g7c41', 'g7c42']
['g7c0', 'g7c01', 'g7c02', 'g7c11', 'g7c12']
['g9c3', 'g9c31', 'g9c32', 'g9c41', 'g9c42']
['g9c1', 'g9c11', 'g9c2', 'g9c21', 'g9c22']
['g9k0', 'g9k1', 'g9k2', 'g9k3', 'g9k4']
['g9c0', 'g9c01', 'g9c02', 'g9c12', 'g9c4']
['g7k1', 'g7k3', 'g7c1', 'g7c31', 'g7c32']
['g7k0', 'g7k2', 'g7c2', 'g7c21', 'g7c22']
['g1c2', 'g1c3', 'g1c31', 'g1c32', 'g1c42']
['g1c1', 'g1c11', 'g1c12', 'g1c21', 'g1c22']
['g1k0', 'g1k1', 'g1k2', 'g1k3', 'g1k4']
['g19c01', 'g19c1', 'g19c11', 'g19c12', 'g19c2']
['g23c0', 'g23c01', 'g23c02', 'g23c41', 'g23c42']
['g1c0', 'g1c01', 'g1c02', 'g1c4', 'g1c41']
['g23c1', 'g23c11', 'g23c12', 'g23c2', 'g23c21']
['g23k0', 'g23k1', 'g23k2', 'g23k3', 'g23k4']
['g23c22', 'g23c3', 'g23c31', 'g23c32', 'g23c4']
['g2k0', 'g2k1', 'g2k2', 'g2k3', 'g2k4']
['g2c0', 'g2c32', 'g2c4', 'g2c41', 'g2c42']
['g2c01', 'g2c02', 'g2c1', 'g2c11', 'g2c12']
['g2c2', 'g2c21', 'g2c22', 'g2c3', 'g2c31']
['g6k0', 'g6k1', 'g6k2', 'g6k3', 'g6k4']
['g8c0', 'g8c01', 'g8c02', 'g8c11', 'g8c4']
['g6c01', 'g6c3', 'g6c4', 'g6c41', 'g6c42']
['g8c3', 'g8c31', 'g8c32', 'g8c41', 'g8c42']
['g8k0', 'g8k1', 'g8k2', 'g8k3', 'g8k4']
['g8c1', 'g8c12', 'g8c2', 'g8c21', 'g8c22']
['g20c11', 'g20c2', 'g20c21', 'g20c22', 'g20c3']
['g20c0', 'g20c01', 'g20c02', 'g20c1', 'g20c12']
['g20k0', 'g20k1', 'g20k2', 'g20k3', 'g20k4']
['g20c31', 'g20c32', 'g20c4', 'g20c41', 'g20c42']
['g6c0', 'g6c02', 'g6c1', 'g6c11', 'g6c12']
['g6c2', 'g6c21', 'g6c22', 'g6c31', 'g6c32']
['g17k0', 'g17k1', 'g17k2', 'g17k3', 'g17k4']
['g17c2', 'g17c21', 'g17c22', 'g17c31', 'g17c32']
['g19k0', 'g19k1', 'g19k2', 'g19k3', 'g19k4']
['g19c21', 'g19c22', 'g19c3', 'g19c31', 'g19c32']
['g19c0', 'g19c02', 'g19c4', 'g19c41', 'g19c42']
['g24c0', 'g24c32', 'g24c4', 'g24c41', 'g24c42']
['g24c01', 'g24c02', 'g24c1', 'g24c11', 'g24c12']
['g24k0', 'g24k1', 'g24k2', 'g24k3', 'g24k4']
['g24c2', 'g24c21', 'g24c22', 'g24c3', 'g24c31']
['g13k1', 'g13k2', 'g13k3', 'g13k4', 'g13c1']
['g12k0', 'g12k1', 'g12k2', 'g12k3', 'g12c0']
['g16k0', 'g16k1', 'g16k3', 'g16k4', 'g16c3']
['g13c2', 'g13c21', 'g13c3', 'g13c31', 'g13c32']
['g16c42', 'g12c41', 'g16k2', 'g16c1', 'g16c2']
