['G', 'H', 'GG', 'HH', 'GGG', 'HHH', 'GGGG', 'HHHH', 'GGGGG', 'HHHHH', 'GGGGGG', 'HHHHHH', 'GGGGGGG', 'HHHHHHH', 'GGGGGGGG', 'HHHHHHHH']
['M', 'N', 'MM', 'NN', 'MMM', 'NNN', 'MMMM', 'NNNN', 'MMMMM', 'NNNNN', 'MMMMMM', 'NNNNNN', 'MMMMMMM', 'NNNNNNN', 'MMMMMMMM', 'NNNNNNNN']
['w', 'x', 'ww', 'xx', 'www', 'xxx', 'wwww', 'xxxx', 'wwwww', 'xxxxx', 'wwwwww', 'xxxxxx', 'wwwwwww', 'xxxxxxx', 'wwwwwwww', 'xxxxxxxx']
['W', 'X', 'WW', 'XX', 'WWW', 'XXX', 'WWWW', 'XXXX', 'WWWWW', 'XXXXX', 'WWWWWW', 'XXXXXX', 'WWWWWWW', 'XXXXXXX', 'WWWWWWWW', 'XXXXXXXX']
['k', 'l', 'kk', 'll', 'kkk', 'lll', 'kkkk', 'llll', 'kkkkk', 'lllll', 'kkkkkk', 'llllll', 'kkkkkkk', 'lllllll', 'kkkkkkkk', 'llllllll']
['a', 'b', 'aa', 'bb', 'aaa', 'bbb', 'aaaa', 'bbbb', 'aaaaa', 'bbbbb', 'aaaaaa', 'bbbbbb', 'aaaaaaa', 'bbbbbbb', 'aaaaaaaa', 'bbbbbbbb']
['C', 'D', 'CC', 'DD', 'CCC', 'DDD', 'CCCC', 'DDDD', 'CCCCC', 'DDDDD', 'CCCCCC', 'DDDDDD', 'CCCCCCC', 'DDDDDDD', 'CCCCCCCC', 'DDDDDDDD']
['S', 'T', 'SS', 'TT', 'SSS', 'TTT', 'SSSS', 'TTTT', 'SSSSS', 'TTTTT', 'SSSSSS', 'TTTTTT', 'SSSSSSS', 'TTTTTTT', 'SSSSSSSS', 'TTTTTTTT']
['s', 't', 'ss', 'tt', 'sss', 'ttt', 'ssss', 'tttt', 'sssss', 'ttttt', 'ssssss', 'tttttt', 'sssssss', 'ttttttt', 'ssssssss', 'tttttttt']
['e', 'f', 'ee', 'ff', 'eee', 'fff', 'eeee', 'ffff', 'eeeee', 'fffff', 'eeeeee', 'ffffff', 'eeeeeee', 'fffffff', 'eeeeeeee', 'ffffffff']
['u', 'v', 'uu', 'vv', 'uuu', 'vvv', 'uuuu', 'vvvv', 'uuuuu', 'vvvvv', 'uuuuuu', 'vvvvvv', 'uuuuuuu', 'vvvvvvv', 'uuuuuuuu', 'vvvvvvvv']
['q', 'r', 'qq', 'rr', 'qqq', 'rrr', 'qqqq', 'rrrr', 'qqqqq', 'rrrrr', 'qqqqqq', 'rrrrrr', 'qqqqqqq', 'rrrrrrr', 'qqqqqqqq', 'rrrrrrrr']
['U', 'V', 'UU', 'VV', 'UUU', 'VVV', 'UUUU', 'VVVV', 'UUUUU', 'VVVVV', 'UUUUUU', 'VVVVVV', 'UUUUUUU', 'VVVVVVV', 'UUUUUUUU', 'VVVVVVVV']
['Y', 'Z', 'YY', 'ZZ', 'YYY', 'ZZZ', 'YYYY', 'ZZZZ', 'YYYYY', 'ZZZZZ', 'YYYYYY', 'ZZZZZZ', 'YYYYYYY', 'ZZZZZZZ', 'YYYYYYYY', 'ZZZZZZZZ']
['g', 'h', 'gg', 'hh', 'ggg', 'hhh', 'gggg', 'hhhh', 'ggggg', 'hhhhh', 'gggggg', 'hhhhhh', 'ggggggg', 'hhhhhhh', 'gggggggg', 'hhhhhhhh']
['O', 'P', 'OO', 'PP', 'OOO', 'PPP', 'OOOO', 'PPPP', 'OOOOO', 'PPPPP', 'OOOOOO', 'PPPPPP', 'OOOOOOO', 'PPPPPPP', 'OOOOOOOO', 'PPPPPPPP']
