['215', '510', '615', '254', '714', '18', '380', '39', '559', '167', '885', '841', '605', '880', '123', '139', '872', '136', '377', '694', '238', '616', '364', '135', '201', '16', '294', '398', '59', '321', '863']
['595', '409', '505', '769', '7', '286', '429', '693', '187', '940', '176', '902', '891', '526', '882', '827', '729', '197', '260', '658', '307', '497', '908', '221', '703', '126', '95', '923', '685', '13', '907']
['79', '386', '530', '395', '764', '196', '666', '814', '330', '897', '463', '580', '373', '281', '591', '4', '375', '716', '718', '779', '332', '390', '299', '956', '474', '355', '619', '452', '753', '934', '635']
['433', '808', '711', '536', '104', '217', '919', '653', '874', '688', '407', '37', '724', '74', '158', '367', '852', '589', '492', '239', '651', '240', '864', '674', '601', '450', '509', '557', '687', '269', '757']
['785', '672', '725', '737', '682', '112', '424', '103', '354', '900', '170', '865', '410', '183', '219', '594', '657', '28', '76', '118', '741', '750', '932', '554', '276', '336', '770', '162', '264', '946', '765']
['394', '464', '122', '883', '178', '484', '607', '385', '640', '156', '743', '481', '109', '408', '899', '632', '265', '571', '278', '550', '1', '208', '508', '713', '460', '0', '488', '177', '396', '315', '768']
['626', '911', '888', '143', '476', '291', '69', '575', '339', '486', '329', '293', '763', '229', '811', '224', '542', '436', '766', '952', '270', '413', '890', '87', '472', '475', '5', '428', '495', '583', '43']
['586', '233', '637', '506', '699', '129', '618', '726', '252', '114', '425', '576', '799', '646', '471', '20', '457', '363', '881', '566', '184', '46', '6', '806', '35', '206', '54', '777', '261', '67', '163']
['842', '36', '174', '454', '379', '706', '230', '172', '560', '290', '58', '517', '289', '248', '587', '477', '445', '584', '957', '38', '727', '532', '614', '199', '369', '807', '94', '782', '317', '947', '273']
['945', '322', '944', '131', '73', '822', '86', '205', '124', '415', '427', '34', '226', '730', '228', '138', '563', '56', '721', '534', '955', '912', '633', '435', '287', '210', '866', '565', '795', '45', '833']
['161', '420', '752', '846', '546', '90', '411', '898', '561', '305', '148', '256', '97', '84', '869', '453', '855', '251', '778', '458', '482', '844', '817', '638', '848', '649', '246', '667', '810', '639', '421']
['590', '257', '316', '448', '236', '541', '391', '504', '244', '524', '71', '800', '547', '467', '25', '704', '326', '681', '24', '303', '835', '543', '564', '40', '361', '459', '719', '710', '185', '19', '596']
