32
1024
['380', '484', '544', '503', '476', '801', '893', '921', '663', '350', '186', '441', '48', '430', '184', '108', '44', '54', '811', '257', '117', '464', '119', '295', '82', '535', '281', '388', '42', '172']
['401', '856', '706', '395', '43', '163', '682', '669', '581', '606', '439', '883', '85', '307', '200', '785', '603', '269', '165', '363', '881', '554', '243', '436', '264', '844', '287', '465', '388', '884']
['890', '446', '830', '319', '720', '828', '272', '266', '498', '128', '783', '198', '174', '602', '97', '648', '513', '71', '22', '680', '537', '727', '343', '517', '271', '879', '719', '554', '810', '247']
['542', '786', '234', '829', '794', '316', '650', '460', '639', '713', '671', '80', '253', '721', '188', '911', '37', '868', '406', '347', '867', '680', '162', '328', '790', '371', '900', '466', '257', '809']
['229', '589', '167', '19', '104', '875', '761', '315', '29', '665', '419', '456', '355', '649', '311', '846', '912', '915', '662', '868', '543', '570', '800', '526', '792', '144', '392', '269', '708', '541']
['435', '195', '219', '258', '672', '666', '722', '596', '91', '51', '15', '81', '724', '688', '886', '614', '499', '229', '849', '79', '55', '890', '100', '49', '374', '558', '360', '449', '380', '83']
['478', '756', '153', '149', '69', '283', '532', '429', '923', '633', '588', '850', '797', '508', '409', '291', '249', '543', '674', '354', '26', '537', '225', '637', '779', '764', '528', '390', '117', '199']
['435', '909', '418', '574', '752', '689', '622', '333', '107', '265', '438', '434', '668', '808', '453', '447', '5', '851', '223', '542', '478', '314', '400', '386', '805', '825', '807', '401', '776', '462']
['386', '591', '659', '270', '710', '166', '624', '531', '917', '245', '546', '50', '189', '359', '236', '793', '341', '526', '159', '146', '533', '517', '177', '361', '566', '176', '559', '538', '295', '628']
['447', '914', '381', '770', '299', '768', '61', '525', '148', '260', '405', '362', '534', '407', '120', '276', '598', '846', '224', '605', '300', '648', '298', '296', '635', '631', '227', '180', '108', '173']
['622', '202', '396', '803', '743', '239', '518', '918', '859', '452', '530', '646', '84', '702', '832', '799', '59', '761', '607', '471', '230', '272', '872', '329', '18', '765', '10', '892', '893', '431']
['314', '489', '86', '507', '194', '387', '205', '759', '411', '346', '235', '185', '122', '687', '837', '268', '586', '570', '863', '815', '864', '727', '324', '767', '699', '903', '70', '569', '464', '382']
['596', '275', '178', '193', '458', '187', '918', '831', '510', '636', '608', '111', '46', '627', '17', '525', '632', '240', '437', '460', '429', '759', '491', '531', '709', '907', '746', '669', '630', '817']
['400', '590', '647', '610', '678', '322', '385', '491', '787', '330', '367', '428', '207', '871', '423', '619', '740', '800', '693', '643', '604', '343', '597', '45', '888', '228', '469', '327', '119', '74']
['722', '813', '457', '242', '304', '318', '518', '686', '692', '24', '338', '876', '697', '493', '521', '61', '673', '297', '771', '650', '532', '205', '385', '624', '582', '897', '924', '682', '855', '467']
['453', '791', '904', '8', '661', '397', '521', '17', '621', '161', '838', '524', '716', '539', '819', '514', '580', '311', '131', '726', '56', '97', '858', '736', '94', '394', '729', '197', '184', '714']
['689', '274', '843', '285', '928', '861', '318', '187', '853', '169', '667', '93', '136', '160', '138', '601', '612', '875', '114', '366', '675', '828', '841', '874', '522', '486', '501', '290', '801', '33']
['107', '555', '611', '824', '561', '75', '692', '510', '422', '780', '922', '473', '135', '753', '594', '490', '664', '29', '839', '728', '840', '498', '461', '130', '895', '695', '336', '231', '663', '821']
['849', '795', '221', '925', '474', '114', '607', '123', '839', '214', '902', '645', '102', '616', '131', '224', '125', '278', '656', '406', '674', '863', '693', '159', '698', '696', '280', '165', '634', '215']
['79', '364', '32', '14', '773', '366', '471', '459', '728', '820', '201', '480', '170', '88', '726', '605', '263', '511', '337', '347', '354', '815', '643', '146', '313', '325', '654', '363', '703', '443']
['688', '126', '891', '116', '758', '160', '702', '425', '753', '870', '730', '772', '34', '788', '539', '407', '16', '378', '748', '721', '508', '687', '871', '359', '894', '133', '723', '307', '317', '96']
['100', '115', '38', '132', '774', '841', '872', '217', '461', '536', '652', '261', '547', '812', '858', '298', '887', '835', '623', '162', '225', '324', '597', '177', '618', '500', '483', '243', '715', '210']
['333', '640', '823', '497', '118', '735', '686', '831', '142', '896', '865', '818', '339', '425', '882', '880', '653', '315', '123', '459', '35', '266', '217', '658', '745', '410', '440', '332', '921', '860']
['851', '509', '232', '143', '156', '833', '297', '240', '910', '389', '87', '778', '899', '378', '488', '164', '72', '915', '278', '511', '642', '71', '835', '191', '342', '292', '99', '250', '54', '655']
['449', '468', '25', '451', '233', '290', '892', '332', '231', '784', '889', '901', '741', '358', '197', '180', '211', '250', '62', '466', '390', '569', '327', '538', '822', '545', '906', '465', '277', '321']
['724', '519', '404', '549', '334', '136', '84', '339', '135', '112', '286', '711', '445', '137', '716', '534', '479', '899', '95', '253', '797', '122', '207', '189', '417', '28', '64', '85', '481', '424']
['374', '557', '600', '552', '913', '522', '18', '745', '895', '150', '739', '757', '717', '279', '94', '635', '305', '342', '65', '790', '779', '699', '888', '566', '140', '681', '357', '264', '718', '12']
['5', '303', '763', '777', '105', '89', '673', '632', '182', '789', '857', '691', '479', '16', '351', '212', '251', '912', '125', '263', '629', '513', '887', '238', '305', '171', '540', '211', '44', '869']
['55', '463', '21', '349', '6', '675', '230', '35', '840', '47', '209', '78', '23', '494', '56', '300', '629', '642', '804', '867', '26', '864', '604', '533', '679', '145', '20', '881', '36', '567']
['574', '320', '684', '27', '398', '556', '242', '193', '908', '523', '248', '625', '549', '116', '806', '427', '733', '19', '925', '14', '349', '319', '132', '7', '552', '2', '448', '451', '503', '551']
['807', '58', '53', '564', '515', '852', '924', '746', '617', '379', '101', '738', '64', '723', '505', '905', '599', '392', '280', '654', '20', '719', '483', '383', '357', '1', '98', '906', '281', '798']
['909', '399', '254', '704', '573', '455', '813', '275', '190', '310', '213', '766', '519', '126', '898', '485', '284', '589', '795', '364', '463', '446', '115', '482', '557', '155', '683', '468', '484', '152']
['886', '898', '575', '806', '353', '138', '832', '882', '594', '827', '712', '323', '705', '0', '819', '120', '351', '488', '620', '188', '409', '837', '423', '236', '527', '578', '505', '200', '356', '181']
['434', '326', '393', '340', '595', '577', '876', '111', '139', '450', '289', '516', '711', '772', '323', '237', '403', '456', '645', '480', '78', '198', '261', '796', '757', '548', '408', '901', '441', '39']
['462', '218', '13', '113', '259', '154', '467', '817', '781', '203', '158', '444', '424', '96', '181', '885', '550', '541', '215', '443', '567', '247', '210', '442', '12', '845', '402', '321', '172', '847']
['499', '284', '76', '733', '3', '612', '59', '653', '664', '553', '4', '403', '151', '747', '580', '598', '251', '72', '246', '37', '249', '586', '740', '341', '384', '562', '599', '603', '677', '550']
['752', '592', '834', '802', '370', '842', '304', '458', '196', '124', '40', '103', '334', '758', '353', '273', '3', '104', '474', '773', '6', '720', '774', '579', '913', '615', '920', '233', '476', '352']
['81', '766', '751', '625', '103', '93', '646', '818', '473', '129', '587', '516', '365', '335', '524', '362', '691', '778', '282', '80', '850', '185', '428', '50', '862', '454', '738', '883', '372', '444']
['360', '683', '529', '448', '920', '501', '10', '440', '336', '121', '220', '408', '421', '502', '729', '227', '540', '99', '762', '900', '528', '70', '469', '559', '492', '67', '98', '287', '157', '402']
