22
22
['0', '1']
['0', '2']
['0', '3']
['0', '4']
['0', '5']
['0', '6']
['0', '7']
['0', '8']
['0', '9']
['0', '10']
['0', '11']
['0', '12']
['0', '13']
['0', '14']
['0', '15']
['0', '16']
['0', '17']
['0', '18']
['0', '19']
['0', '20']
['0', '21']
['147', '148', '6']
['148', '149', '6']
['149', '150', '6']
['150', '151', '6']
['151', '152', '6']
['152', '153', '6']
['154', '155', '7']
['155', '156', '7']
['156', '157', '7']
['157', '158', '7']
['158', '159', '7']
['159', '160', '7']
['160', '161', '7']
['161', '162', '7']
['162', '163', '7']
['163', '164', '7']
['164', '165', '7']
['165', '166', '7']
['166', '167', '7']
['167', '168', '7']
['168', '169', '7']
['169', '170', '7']
['170', '171', '7']
['171', '172', '7']
['172', '173', '7']
['173', '174', '7']
['174', '175', '7']
['176', '177', '8']
['177', '178', '8']
['178', '179', '8']
['179', '180', '8']
['180', '181', '8']
['181', '182', '8']
['182', '183', '8']
['183', '184', '8']
['184', '185', '8']
['185', '186', '8']
['186', '187', '8']
['187', '188', '8']
['188', '189', '8']
['189', '190', '8']
['190', '191', '8']
['191', '192', '8']
['192', '193', '8']
['193', '194', '8']
['194', '195', '8']
['195', '196', '8']
['196', '197', '8']
['198', '199', '9']
['199', '200', '9']
['200', '201', '9']
['201', '202', '9']
['202', '203', '9']
['203', '204', '9']
['204', '205', '9']
['205', '206', '9']
['206', '207', '9']
['207', '208', '9']
['208', '209', '9']
['209', '210', '9']
['210', '211', '9']
['211', '212', '9']
['212', '213', '9']
['213', '214', '9']
['214', '215', '9']
['215', '216', '9']
['216', '217', '9']
['217', '218', '9']
['218', '219', '9']
['220', '221', '10']
['221', '222', '10']
['222', '223', '10']
['223', '224', '10']
['224', '225', '10']
['225', '226', '10']
['226', '227', '10']
['227', '228', '10']
['228', '229', '10']
['229', '230', '10']
['230', '231', '10']
['231', '232', '10']
['232', '233', '10']
['233', '234', '10']
['234', '235', '10']
['235', '236', '10']
['236', '237', '10']
['237', '238', '10']
['238', '239', '10']
['239', '240', '10']
['240', '241', '10']
['242', '243', '11']
['243', '244', '11']
['244', '245', '11']
['245', '246', '11']
['246', '247', '11']
['247', '248', '11']
['248', '249', '11']
['249', '250', '11']
['250', '251', '11']
['251', '252', '11']
['252', '253', '11']
['253', '254', '11']
['254', '255', '11']
['255', '256', '11']
['256', '257', '11']
['257', '258', '11']
['258', '259', '11']
['259', '260', '11']
['260', '261', '11']
['261', '262', '11']
['262', '263', '11']
['264', '265', '12']
['265', '266', '12']
['266', '267', '12']
['267', '268', '12']
['268', '269', '12']
['269', '270', '12']
['270', '271', '12']
['271', '272', '12']
['272', '273', '12']
['273', '274', '12']
['274', '275', '12']
['275', '276', '12']
['276', '277', '12']
['277', '278', '12']
['278', '279', '12']
['279', '280', '12']
['280', '281', '12']
['281', '282', '12']
['282', '283', '12']
['283', '284', '12']
['284', '285', '12']
['286', '287', '13']
['287', '288', '13']
['288', '289', '13']
['289', '290', '13']
['290', '291', '13']
['291', '292', '13']
['292', '293', '13']
['293', '294', '13']
['294', '295', '13']
['295', '296', '13']
['296', '297', '13']
['297', '298', '13']
['298', '299', '13']
['299', '300', '13']
['300', '301', '13']
['301', '302', '13']
['302', '303', '13']
['303', '304', '13']
['304', '305', '13']
['305', '306', '13']
['306', '307', '13']
['308', '309', '14']
['309', '310', '14']
['310', '311', '14']
['311', '312', '14']
['312', '313', '14']
['313', '314', '14']
['314', '315', '14']
['315', '316', '14']
['316', '317', '14']
['317', '318', '14']
['318', '319', '14']
['319', '320', '14']
['320', '321', '14']
['321', '322', '14']
['322', '323', '14']
['323', '324', '14']
['324', '325', '14']
['325', '326', '14']
['326', '327', '14']
['327', '328', '14']
['328', '329', '14']
['330', '331', '15']
['331', '332', '15']
['332', '333', '15']
['333', '334', '15']
['334', '335', '15']
['335', '336', '15']
['336', '337', '15']
['337', '338', '15']
['338', '339', '15']
['339', '340', '15']
['340', '341', '15']
['341', '342', '15']
['342', '343', '15']
['343', '344', '15']
['344', '345', '15']
['345', '346', '15']
['346', '347', '15']
['347', '348', '15']
['348', '349', '15']
['349', '350', '15']
['350', '351', '15']
['352', '353', '16']
['353', '354', '16']
['354', '355', '16']
['355', '356', '16']
['356', '357', '16']
['357', '358', '16']
['358', '359', '16']
['359', '360', '16']
['360', '361', '16']
['361', '362', '16']
['362', '363', '16']
['363', '364', '16']
['364', '365', '16']
['365', '366', '16']
['366', '367', '16']
['367', '368', '16']
['368', '369', '16']
['369', '370', '16']
['370', '371', '16']
['371', '372', '16']
['372', '373', '16']
['374', '375', '17']
['375', '376', '17']
['376', '377', '17']
['377', '378', '17']
['378', '379', '17']
['379', '380', '17']
['380', '381', '17']
['381', '382', '17']
['382', '383', '17']
['383', '384', '17']
['384', '385', '17']
['385', '386', '17']
['386', '387', '17']
['387', '388', '17']
['388', '389', '17']
['389', '390', '17']
['390', '391', '17']
['391', '392', '17']
['392', '393', '17']
['393', '394', '17']
['394', '395', '17']
['396', '397', '18']
['397', '398', '18']
['398', '399', '18']
['399', '400', '18']
['400', '401', '18']
['401', '402', '18']
['402', '403', '18']
['403', '404', '18']
['404', '405', '18']
['405', '406', '18']
['406', '407', '18']
['407', '408', '18']
['408', '409', '18']
['409', '410', '18']
['410', '411', '18']
['411', '412', '18']
['412', '413', '18']
['413', '414', '18']
['414', '415', '18']
['415', '416', '18']
['416', '417', '18']
['418', '419', '19']
['419', '420', '19']
['420', '421', '19']
['421', '422', '19']
['422', '423', '19']
['423', '424', '19']
['424', '425', '19']
['425', '426', '19']
['426', '427', '19']
['427', '428', '19']
['428', '429', '19']
['429', '430', '19']
['430', '431', '19']
['431', '432', '19']
['432', '433', '19']
['433', '434', '19']
['434', '435', '19']
['435', '436', '19']
['436', '437', '19']
['437', '438', '19']
['438', '439', '19']
['440', '441', '20']
['441', '442', '20']
['442', '443', '20']
['443', '444', '20']
['444', '445', '20']
['445', '446', '20']
['446', '447', '20']
['447', '448', '20']
['448', '449', '20']
['449', '450', '20']
['450', '451', '20']
['451', '452', '20']
['452', '453', '20']
['453', '454', '20']
['454', '455', '20']
['455', '456', '20']
['456', '457', '20']
['457', '458', '20']
['458', '459', '20']
['459', '460', '20']
['460', '461', '20']
['462', '463', '21']
['463', '464', '21']
['464', '465', '21']
['465', '466', '21']
['466', '467', '21']
['467', '468', '21']
['468', '469', '21']
['469', '470', '21']
['470', '471', '21']
['471', '472', '21']
['472', '473', '21']
['473', '474', '21']
['474', '475', '21']
['475', '476', '21']
['476', '477', '21']
['477', '478', '21']
['478', '479', '21']
['479', '480', '21']
['480', '481', '21']
['481', '482', '21']
['482', '483', '21']
