50
10
['Brooke', 'Andrea', 'Jordan', 'Amber', 'Michelle', 'Mary', 'Sierra', 'Katelyn', 'Danielle', 'Gabrielle']
['Addison', 'Josephine', 'Devin', 'Precious', 'Fiona', 'Amari', 'Jamie', 'Kaylee', 'Faith', 'Denise']
['Dakota', 'Bryanna', 'Lizbeth', 'Cora', 'Gillian', 'Elise', 'Logan', 'Mckenna', 'Kasey', 'Lacey']
['Phoebe', 'Danielle', 'Shyanne', 'Isabel', 'Shelby', 'Annie', 'Alayna', 'Athena', 'Zoey', 'Diamond']
['Natasha', 'Elisabeth', 'Shayla', 'Mayra', 'Andrea', 'Autumn', 'Adrianna', 'Tyra', 'Chelsey', 'Christina']
['Aurora', 'Kelly', 'Aileen', 'Arielle', 'Taryn', 'Annika', 'Jacquelyn', 'Precious', 'Kathryn', 'Natasha']
['Esmeralda', 'Alice', 'Tara', 'Tianna', 'Madisyn', 'Rylee', 'Kaitlin', 'Allyson', 'Eva', 'Alondra']
['Tatyana', 'Molly', 'Skye', 'Lindsey', 'Jayla', 'Halle', 'Brenna', 'Ashlynn', 'Mariana', 'Denise']
['Eleanor', 'Lydia', 'Kendra', 'Nancy', 'Joy', 'Precious', 'Zoe', 'Mckenzie', 'Jaclyn', 'Tiana']
['Elisa', 'Deanna', 'Brandy', 'Nina', 'Whitney', 'Alexa', 'Gianna', 'Camille', 'Melissa', 'Lexi']
['Reagan', 'Tianna', 'Melina', 'Macie', 'Amy', 'Kendra', 'Adrianna', 'Tamara', 'Brooklynn', 'Adrienne']
['Priscilla', 'Kaley', 'Annabelle', 'Lydia', 'Miracle', 'Nia', 'Angela', 'Jasmin', 'Kaylie', 'Fatima']
['Sage', 'Jordan', 'Kierra', 'Eve', 'Madalyn', 'Ann', 'Tabitha', 'Alisha', 'Kiana', 'Brisa']
['Katie', 'Briana', 'Carla', 'Kate', 'Leah', 'Zoe', 'Isabelle', 'Jacqueline', 'Joy', 'Alayna']
['Clarissa', 'Bryanna', 'Melody', 'Mercedes', 'Natalia', 'Destinee', 'Emilie', 'Paris', 'Riley', 'Eva']
['Janelle', 'Kathleen', 'Lisa', 'Haleigh', 'Carlie', 'Felicia', 'Lauryn', 'Sage', 'Precious', 'Madalyn']
['Mallory', 'Eden', 'Leslie', 'Tayler', 'Brooklynn', 'Camille', 'Karina', 'Linda', 'Logan', 'Aurora']
['Yasmin', 'Tiffany', 'Paris', 'Carla', 'Carrie', 'Toni', 'Arianna', 'Cynthia', 'Carley', 'Alexandria']
