4
50
['0', '1']
['1', '2']
['2', '0']
['0', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']
['0', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']
['0', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']
['1', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']
['1', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']
['1', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']
['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']
['2', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']
['2', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']
['0', '3']
['0', '17']
['1', '18']
['1', '32']
['2', '33']
['2', '47']
['0', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']
['12', '47', '43', '14', '17', '5', '37', '44', '39', '4', '1', '36', '8', '11', '15', '46', '45', '13', '6', '10', '35', '34', '40', '38', '3', '9', '41', '33', '7', '16', '42']
['33', '42', '7', '11', '44', '47', '35', '43', '8', '6', '17', '4', '45', '12', '16', '36', '38', '15', '5', '37', '46', '10', '39', '1', '41', '3', '14', '34', '9', '40', '13']
['42', '46', '36', '35', '11', '16', '39', '9', '14', '33', '7', '38', '44', '8', '45', '34', '43', '12', '5', '37', '41', '3', '40', '1', '47', '4', '10', '17', '13', '15', '6']
['8', '42', '40', '35', '13', '5', '9', '6', '45', '39', '4', '34', '33', '37', '17', '43', '10', '12', '38', '36', '46', '41', '11', '47', '14', '15', '16', '7', '1', '44', '3']
['6', '44', '39', '33', '12', '1', '10', '8', '11', '5', '47', '38', '13', '37', '4', '35', '9', '16', '17', '41', '7', '15', '43', '3', '34', '42', '46', '40', '14', '45', '36']
['5', '6', '4', '14', '11', '9', '1', '17', '12', '8', '34', '45', '33', '46', '15', '7', '41', '36', '10', '16', '3', '37', '38', '43', '13', '39', '40', '42', '44', '35', '47']
['8', '46', '47', '34', '33', '45', '3', '9', '7', '6', '1', '14', '16', '12', '11', '40', '10', '15', '13', '4', '17', '5', '43', '44', '36', '41', '37', '38', '39', '42', '35']
['14', '16', '4', '43', '40', '1', '41', '34', '8', '11', '15', '37', '38', '13', '45', '39', '3', '46', '12', '33', '35', '44', '7', '9', '36', '6', '17', '10', '47', '5', '42']
['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']
['17', '28', '24', '27', '29', '6', '8', '18', '19', '4', '23', '2', '25', '15', '11', '20', '14', '10', '26', '9', '32', '3', '22', '16', '12', '21', '7', '5', '30', '31', '13']
['3', '19', '2', '23', '15', '5', '16', '8', '24', '17', '29', '21', '7', '25', '27', '9', '6', '12', '10', '22', '18', '11', '20', '13', '31', '4', '32', '14', '28', '26', '30']
['19', '14', '32', '21', '30', '18', '29', '27', '15', '3', '17', '10', '8', '22', '16', '6', '4', '20', '13', '24', '28', '31', '5', '26', '2', '12', '23', '7', '9', '11', '25']
['13', '32', '14', '26', '25', '2', '3', '19', '30', '23', '18', '4', '17', '24', '15', '11', '20', '6', '9', '7', '16', '8', '29', '21', '22', '28', '12', '27', '5', '10', '31']
['23', '13', '18', '31', '25', '30', '21', '17', '32', '22', '15', '14', '10', '27', '24', '19', '20', '26', '28', '12', '16', '4', '6', '3', '2', '5', '8', '7', '11', '29', '9']
['27', '25', '5', '22', '28', '12', '2', '20', '29', '17', '23', '6', '19', '4', '24', '8', '30', '10', '26', '7', '16', '15', '14', '3', '21', '9', '18', '11', '31', '32', '13']
['15', '18', '8', '29', '7', '10', '13', '11', '3', '23', '30', '26', '12', '21', '28', '19', '17', '24', '27', '25', '16', '6', '14', '2', '5', '9', '31', '22', '4', '20', '32']
['4', '14', '21', '6', '2', '10', '18', '15', '11', '29', '26', '13', '3', '31', '22', '17', '19', '27', '30', '9', '20', '5', '32', '8', '16', '25', '28', '23', '7', '12', '24']
['31', '25', '14', '22', '20', '17', '21', '16', '10', '7', '6', '2', '24', '18', '23', '29', '30', '11', '28', '12', '19', '5', '32', '15', '27', '3', '4', '13', '8', '26', '9']
['26', '22', '19', '29', '4', '25', '9', '10', '5', '27', '21', '11', '18', '17', '8', '14', '7', '6', '28', '20', '16', '31', '3', '13', '32', '24', '12', '15', '2', '30', '23']
