['194', '410', '660', '160', '119', '524', '210', '328', '199', '583', '559', '121', '736', '943', '233', '807', '562', '977', '176', '600', '13', '646', '976', '679', '37', '152', '719']
['795', '232', '451', '275', '156', '297', '311', '78', '65', '177', '165', '883', '780', '217', '11', '666', '899', '481', '480', '571', '356', '761', '551', '893', '967', '786', '665']
['727', '810', '774', '286', '529', '765', '631', '941', '534', '885', '678', '892', '108', '591', '266', '218', '809', '492', '198', '981', '486', '731', '841', '767', '887', '782', '949']
['351', '753', '915', '250', '759', '611', '473', '479', '982', '985', '447', '331', '34', '830', '603', '865', '874', '173', '711', '488', '692', '304', '344', '971', '226', '443', '236', '939']
['399', '112', '33', '863', '955', '251', '847', '758', '560', '837', '261', '556', '783', '636', '368', '722', '963', '143', '638', '773', '182', '158', '464', '538', '860', '439', '856', '706']
['663', '989', '195', '635', '821', '771', '100', '341', '609', '392', '454', '98', '362', '962', '932', '512', '222', '832', '958', '659', '87', '179', '587', '751', '127', '744', '576', '145']
['620', '558', '861', '440', '770', '573', '118', '900', '162', '824', '545', '906', '364', '928', '83', '140', '894', '371', '605', '463', '504', '271', '568', '438', '191', '284', '201', '926']
['285', '917', '748', '714', '387', '772', '305', '836', '828', '884', '287', '643', '208', '613', '219', '625', '763', '672', '141', '407', '153', '584', '521', '889', '923', '724', '739', '702']
['511', '223', '648', '325', '623', '888', '831', '120', '904', '570', '938', '10', '205', '167', '903', '721', '315', '416', '482', '130', '269', '178', '468', '70', '45', '920', '357', '460']
['95', '673', '277', '793', '898', '855', '589', '628', '565', '664', '80', '844', '365', '150', '335', '681', '728', '608', '172', '332', '340', '817', '520', '857', '604', '878', '530', '911']
['586', '539', '633', '973', '128', '404', '367', '930', '563', '881', '241', '794', '797', '170', '993', '879', '502', '802', '712', '996', '245', '804', '134', '453', '737', '79', '116', '959']
['318', '627', '209', '5', '827', '849', '420', '835', '577', '853', '215', '909', '919', '97', '157', '390', '616', '431', '921', '735', '189', '954', '507', '373', '353', '415', '718', '84']
['35', '698', '117', '40', '317', '159', '92', '299', '886', '124', '626', '880', '349', '313', '509', '700', '101', '96', '151', '36', '999', '590', '522', '62', '820', '413', '408', '764', '204']
['754', '477', '622', '202', '743', '800', '652', '42', '868', '254', '699', '662', '487', '484', '41', '258', '537', '166', '53', '405', '235', '263', '3', '597', '310', '401', '498', '839', '350']
['432', '133', '695', '265', '858', '470', '406', '154', '851', '60', '936', '136', '279', '578', '347', '499', '402', '91', '554', '326', '726', '467', '75', '298', '57', '239', '103', '980', '270']
['934', '533', '688', '206', '1', '582', '805', '23', '174', '956', '267', '838', '9', '816', '421', '716', '866', '393', '629', '44', '960', '732', '495', '77', '190', '527', '964', '90', '818']
['435', '63', '935', '181', '115', '409', '29', '907', '540', '905', '922', '363', '654', '400', '531', '94', '496', '214', '268', '355', '750', '225', '292', '192', '990', '155', '28', '862', '264']
['514', '81', '465', '799', '489', '294', '378', '697', '701', '546', '968', '703', '951', '257', '391', '729', '253', '243', '747', '768', '902', '457', '85', '32', '781', '745', '618', '296', '606']
['787', '203', '303', '397', '549', '76', '330', '436', '823', '72', '599', '213', '508', '21', '49', '895', '338', '411', '598', '67', '169', '293', '398', '104', '343', '291', '25', '766', '852']
['196', '149', '607', '957', '775', '801', '220', '686', '876', '64', '0', '424', '334', '667', '569', '290', '93', '916', '798', '792', '908', '280', '778', '396', '641', '425', '312', '822', '912']
['186', '924', '274', '929', '542', '846', '237', '814', '419', '500', '528', '66', '769', '345', '374', '825', '742', '448', '517', '682', '109', '12', '395', '644', '382', '979', '137', '276', '144']
['491', '756', '385', '339', '123', '523', '791', '619', '193', '283', '564', '386', '54', '46', '653', '713', '139', '642', '762', '986', '483', '518', '891', '122', '449', '456', '671', '738', '4']
['380', '677', '249', '833', '259', '427', '200', '630', '779', '26', '142', '965', '175', '842', '300', '760', '947', '69', '871', '187', '52', '39', '188', '417', '56', '746', '131', '650', '88']
['550', '372', '73', '247', '503', '953', '615', '164', '693', '102', '86', '987', '526', '859', '493', '717', '455', '676', '183', '655', '462', '601', '777', '337', '723', '914', '808', '379', '972']
