['282', '402']
['912', '273']
['908', '970']
['525', '305']
['889', '910', '183']
['477', '734', '8']
['367', '484', '539']
['249', '103', '17']
['544', '662', '950']
['937', '554', '78']
['931', '71', '668']
['352', '736', '592']
['932', '508', '979']
['260', '311', '545']
['930', '541', '967']
['640', '253', '343']
['191', '392', '611']
['34', '881', '201']
['519', '429', '441']
['867', '114', '947']
['859', '463', '962']
['828', '421', '457']
['891', '195', '198']
['295', '516', '285']
['204', '267', '628']
['278', '643', '952']
['491', '868', '121']
['40', '96', '438']
['62', '883', '358']
['593', '823', '426']
['26', '963', '382']
['340', '928', '956']
['414', '978', '389']
['627', '377', '781']
['395', '22', '836']
['638', '657', '238']
['660', '997', '746']
['620', '289', '587']
['5', '906', '216']
['38', '387', '695']
['712', '494', '281']
['10', '551', '214']
['626', '659', '873']
['190', '619', '706']
['53', '446', '856']
['756', '614', '77']
['479', '90', '386']
['58', '718', '145']
['537', '945', '615']
['470', '75', '763']
['294', '302', '16']
['313', '177', '992']
['645', '559', '67']
['178', '398', '835']
['335', '298', '741']
['949', '108', '467']
['233', '591', '445']
['731', '637', '902']
['696', '710', '31']
['188', '924', '651']
['206', '774', '538']
['782', '263', '448']
['189', '547', '116']
['136', '708', '629']
['488', '961', '496']
['48', '15', '896']
['761', '687', '0']
['371', '762', '905']
['807', '699', '877']
['128', '925', '468']
['817', '261', '80']
['160', '984', '33']
['848', '579', '777']
['632', '24', '316']
['333', '485', '13']
['844', '46', '855']
['886', '219', '974']
['582', '866', '42']
['18', '259', '808']
['151', '588', '838']
['148', '636', '171']
['631', '846', '280']
['747', '115', '700']
['678', '344', '558']
['697', '528', '944']
['374', '603', '256']
['793', '481', '81']
['104', '321', '833']
['167', '339', '865']
['425', '563', '927']
['976', '702', '624']
['555', '575', '76']
['806', '740', '522']
['565', '450', '351']
['701', '19', '141']
['292', '506', '724']
['845', '363', '196']
['328', '211', '688']
['851', '255', '172']
['246', '755', '291']
['513', '466', '241']
['703', '705', '598']
['134', '350', '894']
['296', '778', '297']
['690', '368', '936']
['326', '469', '212']
['573', '254', '495']
['585', '621', '194']
['184', '921', '722']
['269', '1', '460']
['929', '482', '21']
['391', '113', '453']
['85', '403', '773']
['870', '658', '106']
['940', '509', '957']
['983', '812', '964']
['418', '577', '769']
['580', '388', '124']
['200', '679', '864']
['478', '192', '79']
['771', '966', '84']
['617', '100', '130']
['524', '210', '653']
['993', '330', '994']
['268', '390', '907']
['284', '257', '417']
['39', '564', '521']
['540', '265', '821']
['517', '548', '663']
['12', '110', '810']
['667', '795', '750']
['475', '451', '596']
['985', '337', '904']
['800', '384', '271']
['364', '885', '236']
['707', '51', '520']
['804', '502', '674']
['179', '650', '52']
['28', '656', '665']
['977', '406', '670']
['532', '54', '583']
['277', '370', '455']
['357', '691', '549']
['934', '527', '44']
['776', '854', '770']
['725', '486', '112']
['825', '290', '684']
['465', '240', '605']
['733', '623', '788']
['63', '407', '933']
['359', '99', '694']
['399', '946', '827']
['94', '852', '372']
['270', '360', '356']
['834', '223', '444']
['884', '879', '557']
['909', '2', '36']
['176', '207', '942']
['871', '745', '312']
['809', '727', '791']
['442', '430', '739']
['70', '181', '560']
['607', '913', '692']
['319', '553', '464']
['30', '413', '735']
['975', '309', '613']
['440', '748', '988']
['768', '861', '416']
['239', '262', '32']
['669', '154', '93']
['419', '157', '711']
['86', '911', '222']
['901', '784', '163']
['919', '20', '892']
['476', '449', '153']
['155', '434', '49']
['954', '973', '232']
['837', '500', '225']
['35', '830', '498']
['150', '474', '713']
['642', '224', '156']
['546', '456', '779']
['652', '88', '752']
['415', '649', '533']
['98', '397', '576']
['714', '764', '166']
['785', '989', '529']
['447', '504', '826']
['220', '303', '717']
['47', '431', '920']
['317', '647', '7']
['237', '813', '304']
['612', '111', '581']
['336', '490', '732']
['55', '874', '137']
['608', '459', '120']
['322', '841', '493']
['180', '987', '888']
['960', '982', '245']
['798', '394', '427']
['693', '158', '986']
['849', '400', '597']
['941', '766', '307']
['728', '142', '842']
['570', '283', '898']
['50', '664', '411']
['423', '609', '646']
['951', '349', '661']
['472', '562', '126']
['144', '675', '82']
['789', '347', '715', '27']
['101', '56', '526', '125']
['634', '129', '515', '990']
['185', '872', '64', '981']
['680', '409', '599', '878']
['250', '822', '786', '595']
