['526', '839', '365', '299', '239', '944', '845', '129', '592', '331', '650', '660', '554', '743', '254', '799', '600', '417', '921', '809', '586', '438', '396', '392', '861', '161', '761', '348', '73', '153', '516']
['749', '890', '483', '632', '610', '322', '835', '11', '579', '892', '117', '648', '814', '21', '622', '175', '624', '916', '837', '118', '25', '797', '243', '572', '822', '943', '205', '376', '0', '499', '773']
['187', '57', '691', '203', '19', '103', '667', '361', '844', '28', '518', '595', '55', '496', '354', '111', '504', '789', '830', '404', '677', '214', '342', '425', '647', '15', '707', '223', '186', '537', '75']
['734', '500', '178', '13', '746', '16', '406', '932', '44', '9', '292', '156', '426', '323', '350', '602', '621', '923', '282', '212', '843', '515', '896', '912', '176', '718', '651', '66', '652', '655', '86']
['36', '907', '170', '725', '184', '710', '356', '594', '565', '101', '10', '503', '87', '507', '49', '122', '535', '875', '712', '272', '740', '343', '124', '463', '769', '681', '245', '590', '352', '167', '387']
['494', '857', '870', '431', '818', '954', '513', '719', '27', '709', '241', '141', '490', '255', '540', '378', '620', '294', '420', '333', '112', '391', '817', '947', '289', '959', '585', '492', '154', '142', '276']
['539', '753', '879', '543', '473', '80', '865', '411', '775', '577', '200', '915', '756', '177', '199', '925', '251', '783', '60', '298', '273', '40', '938', '696', '144', '927', '555', '771', '946', '765', '633']
['703', '853', '303', '143', '786', '698', '895', '43', '385', '466', '748', '488', '477', '941', '563', '46', '210', '873', '723', '164', '778', '306', '266', '866', '683', '414', '716', '346', '900', '905', '706']
['226', '491', '204', '872', '305', '281', '270', '291', '821', '807', '511', '227', '856', '422', '393', '824', '552', '190', '759', '220', '437', '708', '397', '168', '776', '657', '763', '192', '813', '919', '221']
['576', '886', '898', '319', '99', '878', '182', '349', '717', '520', '854', '229', '629', '428', '766', '869', '502', '369', '360', '920', '47', '114', '279', '359', '663', '560', '665', '547', '155', '885', '384']
['198', '83', '599', '957', '641', '510', '559', '452', '514', '747', '401', '373', '906', '506', '901', '139', '202', '568', '751', '618', '288', '738', '201', '811', '867', '453', '841', '806', '162', '796', '358']
['72', '185', '684', '400', '351', '67', '956', '38', '519', '231', '670', '880', '274', '388', '215', '955', '456', '410', '794', '225', '952', '790', '280', '436', '656', '626', '35', '768', '736', '528', '148']
['903', '209', '344', '443', '862', '95', '924', '693', '625', '678', '731', '171', '891', '623', '474', '165', '163', '448', '616', '136', '459', '145', '424', '729', '189', '260', '831', '687', '933', '445', '784']
['58', '472', '722', '578', '382', '2', '460', '605', '455', '832', '884', '457', '297', '119', '109', '375', '6', '883', '523', '801', '152', '93', '882', '123', '194', '211', '498', '699', '534', '82', '191']
['485', '791', '218', '307', '63', '468', '863', '787', '84', '953', '394', '711', '237', '676', '429', '97', '580', '960', '30', '125', '74', '601', '550', '792', '669', '138', '405', '855', '339', '451', '68']
['828', '795', '762', '825', '685', '733', '755', '399', '567', '695', '249', '54', '737', '207', '147', '569', '608', '115', '42', '193', '533', '418', '381', '591', '820', '544', '649', '803', '904', '571', '842']
['690', '116', '252', '461', '894', '180', '430', '788', '377', '593', '604', '39', '939', '326', '390', '770', '371', '324', '328', '631', '29', '108', '664', '308', '363', '582', '24', '278', '654', '522', '475']
