['434', '332', '309']
['524', '867', '153']
['735', '460', '384']
['436', '399', '441']
['951', '848', '95', '972']
['176', '564', '967', '581']
['375', '189', '237', '745']
['227', '902', '306', '78']
['225', '86', '941', '132', '928', '716', '669']
['847', '556', '698', '664', '618', '600', '326']
['26', '442', '345', '741', '777', '658', '122']
['849', '42', '667', '268', '895', '558', '70']
['212', '435', '360', '587', '134', '684', '450']
['707', '750', '208', '73', '822', '120', '831']
['507', '402', '21', '414', '964', '814', '38']
['803', '545', '451', '296', '167', '823', '228']
['72', '252', '337', '793', '282', '89', '350']
['273', '614', '833', '881', '841', '571', '946']
['377', '130', '536', '471', '510', '514', '155']
['260', '565', '171', '413', '124', '543', '970']
['247', '940', '44', '184', '303', '782', '203']
['534', '857', '368', '898', '929', '488', '865']
['883', '608', '209', '574', '475', '302', '214']
['315', '965', '278', '505', '241', '736', '272']
['910', '798', '673', '370', '690', '746', '263']
['190', '527', '11', '19', '878', '700', '483']
['912', '16', '249', '893', '884', '314', '651']
['896', '594', '464', '882', '253', '119', '875']
['199', '276', '705', '635', '665', '686', '737']
['111', '173', '837', '347', '48', '234', '409']
['825', '781', '462', '947', '939', '340', '352']
['763', '660', '90', '160', '88', '163', '69']
['832', '646', '575', '861', '623', '365', '815']
['969', '797', '724', '796', '103', '8', '18']
['240', '948', '37', '148', '862', '728', '925']
['526', '723', '392', '601', '358', '204', '860']
['863', '780', '502', '644', '525', '430', '110']
['830', '858', '579', '961', '174', '187', '99']
['267', '56', '166', '547', '83', '356', '374']
['7', '806', '719', '362', '634', '338', '630']
['61', '226', '425', '34', '324', '597', '421']
['588', '560', '404', '685', '740', '80', '629']
['885', '165', '233', '866', '900', '557', '756']
['211', '553', '958', '599', '959', '378', '439']
['396', '13', '794', '371', '79', '911', '647']
['619', '503', '829', '192', '659', '636', '58']
['323', '318', '693', '520', '480', '701', '481']
['92', '423', '236', '232', '952', '933', '115']
['417', '102', '586', '677', '808', '186', '84']
['530', '39', '419', '668', '310', '486', '433']
['286', '568', '776', '178', '146', '627', '216']
['266', '747', '224', '752', '572', '903', '129']
['114', '839', '694', '179', '566', '217', '137']
['75', '956', '50', '77', '366', '717', '640']
['159', '519', '544', '43', '382', '484', '229']
['713', '3', '297', '30', '270', '109', '726']
['348', '313', '853', '68', '87', '351', '907']
['522', '856', '150', '284', '518', '426', '938']
['311', '400', '383', '592', '113', '14', '549']
['727', '672', '624', '704', '712', '346', '609']
['926', '633', '180', '663', '874', '773', '762']
['811', '757', '552', '930', '22', '578', '791']
['589', '715', '787', '443', '195', '758', '258']
['605', '222', '244', '215', '67', '116', '499']
['188', '901', '870', '783', '656', '245', '376']
['643', '838', '387', '855', '801', '909', '652']
