['637', '945', '322', '944', '131', '73', '822', '86', '205', '124', '415', '427', '34', '226', '730', '228', '138', '563', '56', '721', '534', '955', '912', '633', '435', '287', '866', '565', '795', '45', '833']
['626', '911', '888', '143', '476', '291', '69', '575', '339', '486', '329', '293', '763', '229', '811', '224', '542', '436', '766', '952', '270', '413', '890', '87', '472', '488', '475', '5', '428', '495', '583']
['30', '487', '813', '154', '793', '754', '751', '577', '296', '760', '886', '529', '364', '733', '592', '446', '870', '572', '519', '423', '624', '353', '382', '384', '894', '489', '708', '144', '180', '345', '745']
['690', '500', '915', '802', '141', '862', '70', '479', '707', '359', '823', '593', '873', '797', '597', '503', '832', '370', '107', '470', '245', '523', '284', '108', '442', '202', '824', '549', '759', '684', '64']
['586', '233', '595', '609', '409', '484', '254', '659', '640', '321', '33', '469', '80', '277', '456', '161', '68', '699', '129', '366', '190', '825', '590', '618', '675', '645', '926', '350', '623', '210', '150']
['785', '672', '725', '737', '682', '112', '424', '103', '354', '900', '170', '865', '410', '183', '219', '594', '657', '28', '76', '118', '741', '750', '932', '177', '554', '276', '336', '770', '162', '264', '946']
['425', '257', '316', '448', '236', '541', '391', '504', '244', '524', '71', '800', '547', '467', '25', '704', '326', '681', '24', '303', '835', '543', '564', '40', '361', '459', '719', '710', '185', '19', '596']
['544', '89', '788', '789', '212', '610', '447', '515', '157', '863', '663', '798', '696', '927', '735', '294', '235', '16', '608', '314', '59', '398', '220', '449', '371', '780', '929', '225', '193', '755', '102']
['93', '192', '931', '627', '78', '634', '918', '879', '525', '700', '828', '692', '922', '819', '422', '804', '308', '198', '152', '892', '815', '218', '702', '480', '188', '374', '166', '255', '145', '736', '787']
['6', '806', '868', '35', '31', '604', '756', '494', '271', '960', '555', '319', '54', '777', '261', '67', '168', '924', '776', '52', '466', '341', '895', '636', '826', '805', '668', '906', '26', '539', '867']
['433', '808', '711', '536', '104', '217', '919', '653', '874', '688', '407', '37', '724', '74', '158', '367', '852', '589', '492', '239', '651', '83', '240', '864', '674', '601', '450', '509', '23', '557', '687']
['540', '602', '644', '151', '216', '403', '111', '767', '234', '207', '695', '660', '376', '209', '344', '362', '29', '821', '809', '334', '771', '578', '237', '179', '214', '388', '722', '661', '267', '323', '211']
['669', '748', '142', '656', '812', '82', '231', '676', '933', '938', '279', '91', '352', '514', '242', '77', '761', '896', '431', '9', '516', '496', '859', '507', '875', '393', '611', '884', '598', '439', '490']
['903', '715', '11', '775', '930', '720', '606', '356', '399', '491', '137', '128', '387', '300', '856', '414', '784', '705', '153', '511', '310', '17', '99', '171', '502', '951', '62', '731', '53', '340', '679']
['266', '512', '461', '616', '227', '648', '498', '63', '133', '443', '909', '620', '285', '732', '921', '55', '650', '72', '937', '686', '381', '739', '127', '22', '816', '117', '747', '347', '113', '949', '175']
['758', '328', '665', '837', '147', '698', '125', '283', '858', '954', '877', '405', '803', '434', '130', '774', '642', '849', '349', '853', '164', '400', '101', '282', '342', '838', '925', '734', '12', '392', '430']
['50', '338', '275', '677', '377', '712', '2', '288', '768', '765', '538', '136', '556', '792', '876', '818', '934', '757', '535', '269', '274', '901', '75', '843', '654', '579', '872', '522', '416', '100', '691']
['506', '842', '36', '174', '454', '379', '706', '230', '172', '560', '290', '58', '517', '289', '248', '587', '477', '445', '584', '957', '38', '727', '532', '614', '199', '369', '807', '94', '782', '317', '947']
['206', '420', '752', '846', '546', '90', '411', '898', '561', '305', '148', '256', '97', '84', '869', '453', '855', '251', '778', '458', '482', '844', '817', '638', '848', '649', '246', '667', '810', '639', '421']
