['182', '884', '847', '845', '781', '628', '926', '554', '259', '220', '541', '462', '98', '606', '545', '885', '172', '143', '718', '12', '860', '251', '39', '714', '567', '173', '809', '74', '550']
['800', '748', '721', '508', '389', '92', '713', '351', '488', '620', '188', '409', '87', '626', '671', '212', '816', '911', '291', '268', '619', '778', '282', '80', '37', '249', '586', '740', '95']
['293', '288', '419', '355', '649', '311', '846', '645', '102', '616', '131', '224', '278', '712', '323', '705', '88', '726', '605', '732', '694', '514', '276', '164', '151', '747', '580', '598', '72']
['772', '34', '788', '539', '407', '16', '378', '450', '734', '789', '0', '819', '120', '289', '754', '405', '857', '365', '335', '524', '362', '691', '711', '445', '137', '716', '534', '479', '899']
['593', '309', '161', '260', '690', '577', '127', '755', '397', '768', '31', '838', '24', '338', '876', '697', '493', '521', '61', '111', '46', '627', '17', '525', '139', '512', '725', '621', '148']
['595', '368', '504', '661', '299', '668', '808', '453', '447', '5', '520', '326', '506', '377', '791', '914', '303', '393', '206', '583', '904', '381', '763', '340', '782', '426', '8', '770', '777']
['105', '156', '69', '851', '223', '542', '478', '314', '400', '386', '833', '509', '472', '786', '756', '489', '590', '591', '232', '11', '234', '153', '86', '647', '659', '576', '829', '149', '610']
['910', '660', '639', '787', '412', '794', '194', '678', '89', '585', '316', '283', '387', '322', '166', '673', '297', '771', '650', '532', '205', '385', '624', '632', '240', '437', '460', '491', '507']
['315', '29', '665', '456', '607', '123', '839', '214', '902', '366', '471', '459', '728', '820', '201', '480', '252', '927', '237', '6', '230', '35', '840', '47', '209', '78', '553', '4', '403']
['104', '761', '160', '702', '425', '753', '870', '730', '138', '832', '882', '594', '827', '530', '799', '880', '490', '646', '587', '516', '3', '612', '59', '653', '664', '339', '135', '112', '286']
['167', '19', '875', '100', '849', '795', '221', '925', '474', '114', '806', '79', '364', '32', '14', '773', '427', '273', '601', '55', '463', '21', '349', '675', '284', '733', '890', '229', '589']
['688', '126', '891', '116', '758', '886', '898', '575', '353', '213', '487', '248', '40', '614', '485', '854', '81', '766', '751', '625', '499', '76', '724', '519', '404', '549', '334', '136', '84']
['561', '294', '267', '333', '107', '265', '438', '434', '735', '301', '202', '640', '555', '836', '686', '396', '823', '611', '306', '183', '831', '803', '497', '824', '744', '168', '928', '743', '118']
['169', '452', '896', '780', '657', '239', '75', '667', '865', '922', '256', '571', '518', '692', '103', '93', '818', '473', '918', '510', '636', '608', '196', '853', '859', '142', '422', '568', '676']
['51', '310', '572', '523', '124', '666', '455', '141', '556', '842', '861', '15', '722', '813', '457', '242', '304', '318', '596', '275', '178', '193', '458', '187', '91', '190', '873', '908', '672']
['435', '909', '418', '574', '752', '689', '622', '195', '399', '916', '320', '592', '274', '219', '254', '60', '684', '834', '843', '258', '704', '63', '27', '802', '285', '573', '90', '398', '370']
['64', '85', '481', '424', '708', '57', '750', '307', '317', '96', '700', '134', '200', '356', '181', '147', '101', '439', '848', '158', '785', '244', '454', '738', '883', '372', '444', '551', '603', '677']
['783', '198', '872', '217', '461', '536', '652', '261', '547', '658', '130', '413', '433', '796', '685', '226', '736', '170', '913', '18', '745', '895', '150', '757', '717', '23', '110', '266', '498', '128']
