['208', '6', '127', '737', '358', '622', '344', '71']
['899', '561', '126', '949', '469', '512', '755', '191']
['448', '91', '997', '453', '983', '49', '566', '926']
['325', '529', '733', '397', '128', '276', '295', '223']
['428', '875', '287', '275', '133', '455', '259', '81']
['147', '729', '794', '190', '180', '872', '545', '441']
['676', '924', '591', '935', '160', '878', '788', '296']
['868', '150', '680', '860', '409', '341', '97', '380']
['772', '217', '176', '689', '858', '616', '649', '533']
['522', '488', '731', '369', '155', '96', '894', '135']
['764', '198', '783', '262', '285', '267', '347', '940']
['871', '597', '910', '107', '905', '308', '164', '779']
['777', '948', '998', '696', '121', '282', '567', '465']
['151', '256', '947', '829', '435', '149', '40', '805']
['152', '563', '141', '652', '647', '748', '226', '883']
['314', '361', '786', '132', '504', '403', '433', '923']
['337', '111', '499', '539', '766', '330', '273', '451']
['859', '324', '52', '523', '18', '88', '900', '39']
['86', '350', '411', '740', '257', '556', '120', '981']
['891', '500', '724', '108', '65', '510', '430', '154']
['123', '399', '669', '298', '738', '100', '192', '688']
['744', '548', '854', '922', '980', '171', '158', '970']
['432', '973', '535', '61', '427', '565', '444', '317']
['971', '336', '540', '119', '118', '727', '551', '641']
['485', '527', '297', '849', '587', '237', '611', '318']
['582', '746', '252', '243', '300', '202', '762', '509']
['889', '41', '468', '232', '167', '189', '815', '620']
['656', '241', '212', '281', '832', '725', '417', '383']
['382', '781', '228', '851', '768', '595', '639', '848']
['797', '395', '290', '50', '977', '68', '496', '896']
['173', '934', '434', '862', '554', '549', '327', '550']
['306', '938', '269', '392', '250', '178', '105', '852']
['976', '372', '613', '798', '229', '708', '22', '560']
['270', '301', '42', '363', '709', '664', '481', '93']
['855', '673', '999', '28', '918', '331', '477', '73']
['760', '513', '629', '311', '320', '45', '657', '356']
['253', '841', '682', '594', '989', '464', '156', '674']
['175', '833', '857', '393', '906', '166', '874', '338']
['316', '179', '168', '876', '579', '966', '589', '692']
['310', '216', '958', '436', '632', '861', '70', '870']
['220', '610', '99', '14', '124', '238', '362', '530']
['853', '461', '955', '13', '524', '5', '183', '603']
['837', '255', '840', '385', '913', '264', '776', '886']
['600', '869', '961', '239', '743', '498', '137', '394']
['608', '742', '576', '260', '204', '79', '979', '898']
['419', '462', '741', '412', '936', '391', '54', '471']
['0', '407', '46', '972', '807', '323', '142', '313']
['508', '572', '170', '636', '486', '952', '631', '821']
['408', '950', '784', '553', '835', '845', '440', '1']
['826', '654', '251', '55', '305', '633', '328', '552']
['57', '901', '520', '157', '945', '34', '819', '903']
['491', '374', '445', '2', '817', '881', '584', '240']
['4', '110', '660', '505', '581', '280', '360', '765']
['683', '355', '944', '90', '712', '353', '210', '690']
['678', '929', '699', '686', '483', '882', '782', '438']
['29', '188', '771', '401', '76', '125', '792', '756']
['785', '26', '885', '969', '140', '346', '437', '348']
['104', '333', '8', '442', '734', '799', '266', '932']
['990', '493', '15', '607', '915', '375', '263', '211']
['213', '277', '941', '617', '458', '484', '201', '814']
['354', '547', '181', '9', '677', '51', '367', '410']
['598', '962', '162', '770', '710', '750', '404', '634']
['919', '555', '658', '186', '115', '614', '342', '541']
['174', '431', '95', '177', '732', '321', '780', '209']
['544', '113', '749', '12', '723', '747', '856', '268']
['200', '568', '984', '396', '930', '818', '916', '335']
['528', '752', '351', '161', '759', '640', '495', '863']
['203', '964', '172', '920', '967', '94', '704', '638']
['480', '526', '604', '995', '145', '877', '536', '69']
['286', '887', '62', '503', '197', '418', '48', '422']
['359', '322', '606', '643', '194', '627', '103', '644']
['205', '439', '302', '675', '844', '326', '801', '196']
['588', '402', '687', '420', '593', '681', '578', '698']
['968', '381', '388', '662', '421', '379', '315', '665']
['516', '802', '492', '425', '424', '625', '789', '888']
['702', '37', '309', '416', '670', '112', '386', '224']
['846', '58', '628', '925', '7', '996', '23', '235']
['758', '711', '828', '809', '728', '56', '271', '479']
