['815', '260', '682', '390']
['395', '540', '662', '357']
['427', '922', '909', '183']
['768', '782', '354', '541']
['62', '831', '526', '210']
['597', '355', '834', '546']
['593', '17', '483', '677']
['824', '107', '566', '101']
['120', '203', '186', '436']
['953', '170', '849', '432']
['333', '329', '585', '366']
['827', '341', '245', '725']
['309', '706', '110', '124']
['904', '351', '430', '687']
['940', '638', '171', '460']
['27', '774', '21', '740']
['810', '396', '369', '246']
['559', '147', '206', '503']
['720', '55', '760', '365']
['336', '716', '136', '754']
['611', '278', '248', '310']
['791', '820', '472', '680']
['117', '185', '537', '449']
['108', '320', '280', '181']
['536', '306', '201', '289']
['910', '699', '783', '370']
['838', '903', '713', '150']
['252', '375', '604', '407']
['873', '162', '475', '686']
['325', '471', '104', '140']
['451', '281', '476', '673']
['609', '168', '480', '549']
['553', '790', '828', '569']
['523', '98', '359', '388']
['39', '417', '438', '242']
['100', '48', '146', '567']
['386', '481', '595', '301']
['29', '311', '426', '339']
['358', '446', '845', '247']
['12', '74', '364', '886']
['596', '106', '672', '529']
['859', '746', '870', '271']
['167', '634', '5', '118']
['661', '630', '923', '717']
['688', '864', '889', '639']
['312', '283', '330', '102']
['193', '456', '129', '133']
['10', '154', '420', '730']
['486', '841', '818', '394']
['479', '930', '68', '772']
['906', '857', '668', '393']
['861', '342', '952', '633']
['137', '346', '465', '513']
['659', '678', '57', '367']
['789', '229', '780', '589']
['875', '132', '257', '931']
['455', '344', '884', '266']
['259', '85', '880', '60']
['161', '798', '577', '282']
['196', '628', '557', '424']
['389', '675', '707', '345']
['177', '905', '0', '741']
['273', '376', '591', '224']
['764', '429', '586', '636']
['863', '22', '409', '84']
['785', '75', '11', '615']
['403', '510', '641', '453']
['223', '191', '440', '412']
['799', '492', '751', '650']
['293', '653', '896', '919']
['505', '521', '929', '608']
['152', '128', '489', '305']
['887', '478', '378', '758']
['315', '621', '714', '241']
['518', '319', '362', '410']
['383', '343', '881', '63']
['65', '736', '692', '444']
['228', '316', '770', '249']
['180', '145', '759', '428']
['408', '867', '268', '708']
['477', '317', '25', '38']
['732', '28', '261', '437']
['676', '657', '766', '239']
['809', '588', '558', '748']
['712', '141', '721', '552']
['19', '81', '508', '484']
['491', '371', '616', '614']
['542', '816', '216', '850', '869']
