8
10
['AAH', 'ABU', 'ABH', 'ABQ', 'AAU']
['ABR', 'AAS', 'ABW', 'AAI', 'AAQ']
['ABM', 'ABI', 'AAI', 'ABR', 'AAS']
['ABM', 'ABI', 'AAQ', 'ABR', 'ABW']
['AAI', 'ABR', 'ABW', 'ABJ', 'ABM']
['AAI', 'AAS', 'ABJ', 'ABW', 'ABR']
['ABM', 'ABI', 'ABJ', 'AAQ', 'AAI']
['ABJ', 'ABR', 'AAS', 'ABI', 'ABW']
['ABI', 'AAQ', 'ABW', 'AAS', 'ABJ']
['ABI', 'ABR', 'ABW', 'ABJ', 'AAI']
['ABM', 'AAI', 'ABR', 'AAQ', 'ABI']
['AAI', 'AAS', 'ABW', 'AAQ', 'ABR']
['ABR', 'ABI', 'AAQ', 'AAI', 'ABM']
['AAS', 'ABM', 'AAI', 'AAQ', 'ABW']
['ABI', 'ABR', 'AAS', 'ABW', 'ABJ']
['ABM', 'ABR', 'AAI', 'ABW', 'ABI']
['AAS', 'ABM', 'ABR', 'ABI', 'AAI']
['AAC', 'AAM', 'AAL', 'ABF', 'AAR']
['AAL', 'ABX', 'AAT', 'ABF', 'AAR']
['AAR', 'AAM', 'AAL', 'ABX', 'ABD']
['AAC', 'ABX', 'AAT', 'AAR', 'AAM']
['ABF', 'AAR', 'AAM', 'ABD', 'ABX']
['AAM', 'AAT', 'ABD', 'ABX', 'ABF']
['AAC', 'ABD', 'AAM', 'AAT', 'AAL']
['AAM', 'ABF', 'AAL', 'AAT', 'AAR']
['ABF', 'ABX', 'ABD', 'AAC', 'AAT']
['AAT', 'AAL', 'ABF', 'AAM', 'AAC']
['ABX', 'AAR', 'ABD', 'AAM', 'AAL']
['AAL', 'AAC', 'AAM', 'AAT', 'AAR']
['AAT', 'ABD', 'ABX', 'AAL', 'AAC']
['AAR', 'AAM', 'AAT', 'ABX', 'AAL']
['ABX', 'ABD', 'AAL', 'AAT', 'AAC']
['ABF', 'AAC', 'AAR', 'AAM', 'ABD']
['AAK', 'ABV', 'AAJ', 'ABS', 'AAV']
['AAJ', 'AAG', 'ABS', 'AAA', 'AAV']
['AAV', 'ABK', 'AAG', 'AAA', 'ABV']
['AAA', 'ABS', 'AAV', 'ABV', 'AAJ']
['ABK', 'AAA', 'AAV', 'AAK', 'ABS']
['ABV', 'AAJ', 'AAA', 'ABK', 'ABS']
['ABV', 'ABK', 'ABS', 'AAG', 'AAK']
['AAA', 'ABV', 'AAG', 'AAV', 'AAK']
['ABK', 'ABS', 'AAV', 'ABV', 'AAG']
['AAJ', 'AAG', 'AAA', 'AAV', 'ABK']
['AAG', 'AAJ', 'ABV', 'AAK', 'ABS']
['ABK', 'ABV', 'ABS', 'AAK', 'AAG']
['AAJ', 'AAV', 'ABK', 'AAA', 'AAK']
['AAV', 'AAG', 'AAK', 'ABV', 'AAA']
['AAV', 'ABS', 'AAA', 'ABV', 'AAG']
['ABK', 'AAK', 'ABV', 'AAJ', 'AAG']
