40
20
['Vertex308', 'Vertex82']
['Vertex233', 'Vertex81']
['Vertex174', 'Vertex138']
['Vertex167', 'Vertex321']
['Vertex433', 'Vertex303']
['Vertex339', 'Vertex147']
['Vertex197', 'Vertex343']
['Vertex296', 'Vertex314']
['Vertex137', 'Vertex148']
['Vertex416', 'Vertex108']
['Vertex258', 'Vertex403']
['Vertex249', 'Vertex316']
['Vertex376', 'Vertex226']
['Vertex190', 'Vertex396']
['Vertex355', 'Vertex312']
['Vertex94', 'Vertex280']
['Vertex348', 'Vertex344']
['Vertex340', 'Vertex436']
['Vertex54', 'Vertex410']
['Vertex367', 'Vertex406']
['Vertex359', 'Vertex289']
['Vertex256', 'Vertex250']
['Vertex63', 'Vertex395']
['Vertex223', 'Vertex377']
['Vertex127', 'Vertex414']
['Vertex225', 'Vertex357']
['Vertex60', 'Vertex218']
['Vertex268', 'Vertex110']
['Vertex241', 'Vertex112']
['Vertex43', 'Vertex351']
['Vertex366', 'Vertex65']
['Vertex46', 'Vertex305']
['Vertex426', 'Vertex134']
['Vertex142', 'Vertex186']
['Vertex61', 'Vertex49']
['Vertex243', 'Vertex271']
['Vertex98', 'Vertex101']
['Vertex212', 'Vertex251']
['Vertex126', 'Vertex384']
['Vertex145', 'Vertex374']
['Vertex42', 'Vertex325']
['Vertex284', 'Vertex407']
['Vertex386', 'Vertex409']
['Vertex345', 'Vertex379']
['Vertex362', 'Vertex300']
['Vertex66', 'Vertex411']
['Vertex125', 'Vertex130']
['Vertex93', 'Vertex418']
['Vertex84', 'Vertex273']
['Vertex68', 'Vertex75']
['Vertex177', 'Vertex378']
['Vertex135', 'Vertex432']
['Vertex171', 'Vertex52']
['Vertex341', 'Vertex424']
['Vertex53', 'Vertex309']
['Vertex109', 'Vertex399']
['Vertex182', 'Vertex380']
['Vertex381', 'Vertex430']
['Vertex136', 'Vertex122']
['Vertex200', 'Vertex350']
['Vertex64', 'Vertex252']
['Vertex78', 'Vertex246']
['Vertex255', 'Vertex353']
['Vertex192', 'Vertex311']
['Vertex205', 'Vertex307']
['Vertex102', 'Vertex107']
['Vertex222', 'Vertex415']
['Vertex333', 'Vertex388']
['Vertex119', 'Vertex279']
['Vertex191', 'Vertex437']
['Vertex239', 'Vertex143']
['Vertex56', 'Vertex245']
['Vertex281', 'Vertex230']
['Vertex87', 'Vertex420']
['Vertex274', 'Vertex247']
['Vertex332', 'Vertex428']
['Vertex260', 'Vertex244']
['Vertex70', 'Vertex276']
['Vertex236', 'Vertex328']
['Vertex392', 'Vertex435']
['Vertex92', 'Vertex266']
['Vertex183', 'Vertex187']
['Vertex193', 'Vertex327']
['Vertex99', 'Vertex141']
['Vertex385', 'Vertex229']
['Vertex59', 'Vertex291']
['Vertex390', 'Vertex91']
['Vertex346', 'Vertex429']
['Vertex242', 'Vertex335']
['Vertex88', 'Vertex413']
['Vertex151', 'Vertex234']
['Vertex272', 'Vertex277']
['Vertex168', 'Vertex331']
['Vertex302', 'Vertex116']
['Vertex106', 'Vertex373']
['Vertex427', 'Vertex294']
['Vertex113', 'Vertex165']
['Vertex358', 'Vertex364']
['Vertex383', 'Vertex287']
['Vertex292', 'Vertex40']
['Vertex153', 'Vertex295']
['Vertex133', 'Vertex55']
['Vertex160', 'Vertex158']
['Vertex209', 'Vertex257']
['Vertex131', 'Vertex57']
['Vertex299', 'Vertex318']
['Vertex419', 'Vertex393']
['Vertex401', 'Vertex342']
['Vertex298', 'Vertex86']
['Vertex50', 'Vertex263']
['Vertex216', 'Vertex210']
['Vertex51', 'Vertex297']
['Vertex389', 'Vertex313']
['Vertex262', 'Vertex208']
['Vertex254', 'Vertex323']
['Vertex417', 'Vertex301']
['Vertex76', 'Vertex188']
['Vertex369', 'Vertex90']
['Vertex58', 'Vertex214']
